Date,Open,High,Low,Close,Volume
20210310,20.45,20.45,20.2,20.22,33283
20210311,20.36,20.37,20.32,20.34,21132
20210312,20.26,20.4,20.25,20.34,30148
20210315,20.53,20.58,20.53,20.57,30297
20210316,20.6,20.66,20.59,20.6,35776
20210317,20.62,20.62,20.55,20.6,7030
20210318,20.67,20.67,20.6,20.6,5342
20210319,20.72,20.75,20.72,20.75,3903
20210322,20.7,20.74,20.62,20.74,22469
20210323,20.82,20.85,20.82,20.85,44780
20210324,20.74,20.74,20.65,20.68,9943
20210325,20.6,20.6,20.6,20.6,588
20210326,20.87,20.87,20.82,20.82,23601
20210329,20.96,20.96,20.9,20.9,3407
20210330,20.88,20.88,20.82,20.87,12469
20210331,20.96,20.96,20.9,20.91,7118
20210401,20.91,20.94,20.91,20.94,1045
20210406,21.08,21.08,20.98,20.98,2879
20210407,21,21,20.95,20.95,4894
20210408,21.12,21.14,21.11,21.11,4713
20210409,21.06,21.11,21.04,21.11,11789
20210412,21.1,21.11,21.1,21.11,1048
20210413,21.14,21.14,21.12,21.12,2000
20210414,21.01,21.01,20.93,20.94,4589
20210415,20.84,20.9,20.84,20.9,6913
20210416,20.84,20.9,20.82,20.9,68161
20210419,21,21,20.97,20.98,10497
20210420,20.9,20.9,20.8,20.81,3202
20210421,20.62,20.66,20.62,20.66,17813
20210422,20.77,20.85,20.74,20.85,151420
20210423,20.75,20.76,20.66,20.66,32230
20210426,20.66,20.72,20.66,20.71,85561
20210427,20.65,20.66,20.65,20.65,6504
20210428,20.75,20.75,20.75,20.75,792
20210429,20.63,20.71,20.63,20.7,7749
20210430,20.71,20.73,20.71,20.73,7303
20210503,20.75,20.78,20.75,20.78,11820
20210504,20.79,20.8,20.76,20.76,16639
20210505,20.83,20.83,20.8,20.8,13623
20210506,21,21.1,21,21,15773
20210507,21,21,21,21,0
20210510,21.16,21.16,21.16,21.16,755
20210511,21.06,21.06,20.93,20.97,8587
20210512,20.8,20.81,20.71,20.75,2471
20210513,20.82,20.82,20.82,20.82,1104
20210514,20.96,21.04,20.96,21.04,1873
20210517,21.04,21.04,21.04,21.04,0
20210518,21.19,21.24,21.19,21.23,4980
