Date,Open,High,Low,Close,Volume
20180419,50.9,50.9,50.9,50.9,80
20180420,50.9,50.9,50.9,50.9,0
20180423,50.9,50.9,50.9,50.9,0
20180424,50.9,50.9,50.9,50.9,0
20180426,50.9,50.9,50.9,50.9,0
20180427,51.02,51.02,51.02,51.02,200
20180430,51.02,51.02,51.02,51.02,0
20180501,51.02,51.02,51.02,51.02,0
20180502,51.02,51.02,51.02,51.02,0
20180503,51.02,51.02,51.02,51.02,0
20180504,51.02,51.02,51.02,51.02,0
20180507,51.02,51.02,51.02,51.02,0
20180508,51.02,51.02,51.02,51.02,0
20180509,51.1,51.1,51.1,51.1,520
20180510,51.1,51.1,51.1,51.1,0
20180511,51.1,51.1,51.1,51.1,0
20180514,51.1,51.1,51.1,51.1,0
20180515,51.1,51.1,51.1,51.1,0
20180516,51.22,51.22,51.22,51.22,48
20180517,51.22,51.23,51.22,51.23,468
20180518,51.23,51.23,51.23,51.23,0
20180521,51.23,51.23,51.23,51.23,0
20180522,51.23,51.23,51.23,51.23,0
20180523,51.25,51.25,51.25,51.25,974
20180524,51.2,51.2,51.2,51.2,400
20180525,51.2,51.2,51.2,51.2,0
20180528,51.2,51.2,51.2,51.2,0
20180529,51.2,51.2,51.2,51.2,0
20180530,51.2,51.2,51.2,51.2,0
20180531,51.2,51.2,51.2,51.2,0
20180601,51.2,51.2,51.2,51.2,0
20180604,51.2,51.2,51.2,51.2,0
20180605,51.2,51.2,51.2,51.2,0
20180606,51.2,51.2,51.2,51.2,0
20180607,51.2,51.2,51.2,51.2,0
20180608,51.82,51.82,51.82,51.82,97
20180612,51.82,51.82,51.82,51.82,0
20180613,51.82,51.82,51.82,51.82,0
20180614,51.99,51.99,51.98,51.98,211
20180615,51.98,51.98,51.98,51.98,0
20180618,52.01,52.01,52.01,52.01,480
20180619,52.01,52.01,52.01,52.01,0
20180620,52.01,52.01,52.01,52.01,0
20180621,52.01,52.01,52.01,52.01,0
20180622,51.9,52.01,51.9,52.01,692
20180625,51.98,51.98,51.98,51.98,385
20180626,51.59,51.65,51.59,51.65,6000
20180627,51.65,51.65,51.65,51.65,0
20180628,51.65,51.65,51.65,51.65,0
20180629,51.66,51.66,51.66,51.66,364
20180702,51.75,51.75,51.75,51.75,500
20180703,51.75,51.75,51.75,51.75,0
20180704,51.79,51.8,51.79,51.8,2500
20180705,52.1,52.1,52.1,52.1,1450
20180706,52.1,52.1,52.1,52.1,0
20180709,52.1,52.1,52.1,52.1,0
20180710,52.1,52.1,52.1,52.1,0
20180711,52.1,52.1,52.1,52.1,0
20180712,52.1,52.1,52.1,52.1,0
20180713,52.1,52.1,52.1,52.1,0
20180716,53.08,53.08,53.08,53.08,190
20180717,53.08,53.08,53.08,53.08,0
20180718,52.9,52.9,52.9,52.9,283
20180719,52.9,52.9,52.9,52.9,0
20180720,52.9,52.9,52.9,52.9,0
20180723,52.9,52.9,52.9,52.9,0
20180724,52.9,52.9,52.9,52.9,0
20180725,52.6,52.6,52.6,52.6,530
20180726,52.6,52.6,52.6,52.6,0
20180727,52.97,52.97,52.97,52.97,140
20180730,52.6,52.6,52.6,52.6,1603
20180731,52.55,52.65,52.55,52.65,760
20180801,52.69,52.69,52.67,52.67,1500
20180802,52.67,52.67,52.67,52.67,0
20180803,52.75,52.75,52.75,52.75,757
20180806,52.75,52.75,52.75,52.75,0
20180807,52.94,52.94,52.94,52.94,94
20180808,52.92,52.92,52.92,52.92,300
20180809,52.92,52.92,52.92,52.92,0
20180810,52.92,52.92,52.92,52.92,0
20180813,52.65,52.65,52.33,52.33,1069
20180814,52.33,52.33,52.33,52.33,0
20180815,52.33,52.33,52.33,52.33,0
20180816,52.33,52.33,52.33,52.33,0
20180817,52.33,52.33,52.33,52.33,0
20180820,52.33,52.33,52.33,52.33,0
20180821,52.33,52.33,52.33,52.33,0
20180822,52.33,52.33,52.33,52.33,0
20180823,52.33,52.33,52.33,52.33,0
20180824,52.33,52.33,52.33,52.33,0
20180827,53.44,53.44,53.44,53.44,1000
20180828,53.57,53.57,53.57,53.57,185
20180829,53.57,53.57,53.57,53.57,0
20180830,53.55,53.55,53.55,53.55,840
20180831,53.55,53.55,53.55,53.55,0
20180903,53.43,53.43,53.43,53.43,102
20180904,53.4,53.4,53.39,53.39,2556
20180905,53.19,53.2,53.1,53.1,3675
20180906,53.1,53.1,53.1,53.1,0
20180907,52.88,52.88,52.86,52.86,3029
20180910,52.86,52.86,52.86,52.86,0
20180911,53.03,53.03,53.03,53.03,198
20180912,53.26,53.26,53.09,53.09,491
20180913,53.09,53.09,53.09,53.09,0
20180914,53.44,53.44,53.44,53.44,100
20180917,53.3,53.3,53.3,53.3,84
20180918,53.3,53.3,53.3,53.3,0
20180919,53.3,53.3,53.3,53.3,0
20180920,53.13,53.13,53.13,53.13,250
20180921,53.42,53.43,53.42,53.43,29171
20180924,53.31,53.31,53.31,53.31,14512
20180925,53.31,53.31,53.31,53.31,0
20180926,53.13,53.13,53.13,53.13,203
20180927,53.16,53.16,53.16,53.16,187
20180928,53.14,53.14,53.14,53.14,67
20181001,53.14,53.14,53.14,53.14,0
20181002,53.26,53.26,53.2,53.2,343
20181003,53.2,53.2,53.2,53.2,0
