Date,Open,High,Low,Close,Volume
20220601,2.52,2.52,2.52,2.52,8000
20220602,2.52,2.52,2.52,2.52,0
20220603,2.52,2.52,2.52,2.52,0
20220606,2.52,2.52,2.52,2.52,0
20220607,2.52,2.52,2.52,2.52,0
20220608,2.52,2.52,2.52,2.52,0
20220609,2.52,2.52,2.52,2.52,0
20220610,2.52,2.52,2.52,2.52,0
20220614,2.52,2.52,2.52,2.52,0
20220615,2.52,2.52,2.52,2.52,0
20220616,2.52,2.52,2.52,2.52,0
20220617,2.52,2.52,2.52,2.52,0
20220620,2.52,2.52,2.52,2.52,0
20220621,2.52,2.52,2.52,2.52,0
20220622,2.52,2.52,2.52,2.52,0
20220623,2.52,2.52,2.52,2.52,0
20220624,2.52,2.52,2.52,2.52,0
20220627,2.52,2.52,2.52,2.52,0
20220628,2.52,2.52,2.52,2.52,0
20220629,2.52,2.52,2.52,2.52,0
20220630,2.52,2.52,2.52,2.52,0
20220701,2.52,2.52,2.52,2.52,0
20220704,2.52,2.52,2.52,2.52,0
20220705,2.52,2.52,2.52,2.52,0
20220706,2.52,2.52,2.52,2.52,0
20220707,2.52,2.52,2.52,2.52,0
20220708,2.52,2.52,2.52,2.52,0
20220711,2.52,2.52,2.52,2.52,0
20220712,2.52,2.52,2.52,2.52,0
20220713,2.52,2.52,2.52,2.52,0
20220714,2.52,2.52,2.52,2.52,0
20220715,2.52,2.52,2.52,2.52,0
20220718,2.52,2.52,2.52,2.52,0
20220719,2.52,2.52,2.52,2.52,0
20220720,2.52,2.52,2.52,2.52,0
20220721,2.52,2.52,2.52,2.52,0
20220722,2.52,2.52,2.52,2.52,0
20220725,2.52,2.52,2.52,2.52,0
20220726,2.52,2.52,2.52,2.52,0
20220727,2.52,2.52,2.52,2.52,0
20220728,2.52,2.52,2.52,2.52,0
20220729,2.52,2.52,2.52,2.52,0
20220801,2.52,2.52,2.52,2.52,0
20220802,2.52,2.52,2.52,2.52,0
20220803,2.52,2.52,2.52,2.52,0
20220804,2.52,2.52,2.52,2.52,0
20220805,2.52,2.52,2.52,2.52,0
20220808,2.52,2.52,2.52,2.52,0
20220809,2.52,2.52,2.52,2.52,0
20220810,2.52,2.52,2.52,2.52,0
20220811,2.52,2.52,2.52,2.52,0
20220812,2.52,2.52,2.52,2.52,0
20220815,2.52,2.52,2.52,2.52,0
20220816,2.52,2.52,2.52,2.52,0
20220817,2.52,2.52,2.52,2.52,0
20220818,2.52,2.52,2.52,2.52,0
20220819,2.52,2.52,2.52,2.52,0
20220822,2.52,2.52,2.52,2.52,0
20220823,2.52,2.52,2.52,2.52,0
20220824,2.52,2.52,2.52,2.52,0
20220825,2.52,2.52,2.52,2.52,0
20220826,2.52,2.52,2.52,2.52,0
20220829,2.52,2.52,2.52,2.52,0
20220830,2.52,2.52,2.52,2.52,0
20220831,2.52,2.52,2.52,2.52,0
20220901,2.52,2.52,2.52,2.52,0
20220902,2.52,2.52,2.52,2.52,0
20220905,2.52,2.52,2.52,2.52,0
20220906,2.52,2.52,2.52,2.52,0
20220907,2.52,2.52,2.52,2.52,0
20220908,2.52,2.52,2.52,2.52,0
20220909,2.52,2.52,2.52,2.52,0
20220912,2.52,2.52,2.52,2.52,0
20220913,2.52,2.52,2.52,2.52,0
20220914,2.52,2.52,2.52,2.52,0
20220915,2.52,2.52,2.52,2.52,0
20220916,2.52,2.52,2.52,2.52,0
20220919,2.52,2.52,2.52,2.52,0
20220920,2.52,2.52,2.52,2.52,0
20220921,2.52,2.52,2.52,2.52,0
20220923,2.52,2.52,2.52,2.52,0
20220926,2.52,2.52,2.52,2.52,0
20220927,2.52,2.52,2.52,2.52,0
20220928,2.52,2.52,2.52,2.52,0
20220929,2.52,2.52,2.52,2.52,0
20220930,2.52,2.52,2.52,2.52,10
20221003,2.52,2.52,2.52,2.52,0
20221004,2.52,2.52,2.52,2.52,0
20221005,2.52,2.52,2.52,2.52,0
20221006,2.52,2.52,2.52,2.52,0
20221007,2.52,2.52,2.52,2.52,0
20221010,2.41,2.41,2.41,2.41,15
20221011,2.41,2.41,2.41,2.41,0
20221012,2.41,2.41,2.41,2.41,0
20221013,2.41,2.41,2.41,2.41,10
20221014,2.41,2.41,2.41,2.41,0
20221017,2.41,2.41,2.41,2.41,0
20221018,2.41,2.41,2.41,2.41,0
20221019,2.41,2.41,2.41,2.41,0
20221020,2.41,2.41,2.41,2.41,0
20221021,2.41,2.41,2.41,2.41,0
20221024,2.41,2.41,2.41,2.41,0
20221025,2.41,2.41,2.41,2.41,0
20221026,2.41,2.41,2.41,2.41,0
20221027,2.41,2.41,2.41,2.41,0
20221028,2.41,2.41,2.41,2.41,0
20221031,2.41,2.41,2.41,2.41,0
20221101,2.41,2.41,2.41,2.41,0
20221102,2.41,2.41,2.41,2.41,0
20221103,2.41,2.41,2.41,2.41,0
20221104,2.41,2.41,2.41,2.41,0
20221107,2.41,2.41,2.41,2.41,0
20221108,2.41,2.41,2.41,2.41,0
20221109,2.41,2.41,2.41,2.41,0
20221110,2.41,2.41,2.41,2.41,0
20221111,2.41,2.41,2.41,2.41,0
20221114,2.41,2.41,2.41,2.41,0
20221115,2.41,2.41,2.41,2.41,0
20221116,2.41,2.41,2.41,2.41,0
20221117,2.41,2.41,2.41,2.41,0
20221118,2.41,2.41,2.41,2.41,0
20221121,2.41,2.41,2.41,2.41,0
20221122,2.41,2.41,2.41,2.41,0
20221123,2.41,2.41,2.41,2.41,0
20221124,2.41,2.41,2.41,2.41,0
20221125,2.41,2.41,2.41,2.41,0
20221128,2.41,2.41,2.41,2.41,0
20221129,2.41,2.41,2.41,2.41,0
20221130,2.41,2.41,2.41,2.41,0
20221201,2.41,2.41,2.41,2.41,0
20221202,2.41,2.41,2.41,2.41,0
20221205,2.41,2.41,2.41,2.41,0
20221206,2.41,2.41,2.41,2.41,0
20221207,2.41,2.41,2.41,2.41,0
20221208,2.41,2.41,2.41,2.41,0
20221209,2.41,2.41,2.41,2.41,0
20221212,2.41,2.41,2.41,2.41,10000
20221213,2.41,2.41,2.41,2.41,0
20221214,2.41,2.41,2.41,2.41,0
20221215,2.41,2.41,2.41,2.41,0
20221216,2.41,2.41,2.41,2.41,0
20221219,2.41,2.41,2.41,2.41,0
20221220,2.41,2.41,2.41,2.41,0
20221221,2.41,2.41,2.41,2.41,0
20221222,2.41,2.41,2.41,2.41,0
20221223,2.41,2.41,2.41,2.41,0
20221228,2.41,2.41,2.41,2.41,0
20221229,2.41,2.41,2.41,2.41,0
20221230,2.41,2.41,2.41,2.41,0
20230103,2.41,2.41,2.41,2.41,0
20230104,2.41,2.41,2.41,2.41,0
20230105,2.41,2.41,2.41,2.41,0
20230106,2.41,2.41,2.41,2.41,0
20230109,2.41,2.41,2.41,2.41,0
20230110,2.41,2.41,2.41,2.41,0
20230111,2.41,2.41,2.41,2.41,0
20230112,2.41,2.41,2.41,2.41,0
20230113,2.41,2.41,2.41,2.41,0
20230116,2.41,2.41,2.41,2.41,0
20230117,2.41,2.41,2.41,2.41,0
20230118,2.41,2.41,2.41,2.41,0
20230119,2.41,2.41,2.41,2.41,0
20230120,2.41,2.41,2.41,2.41,0
20230123,2.41,2.41,2.41,2.41,0
