Date,Open,High,Low,Close,Volume
20110526,49.5,49.61,49.5,49.61,1000
20110527,50.59,50.59,50,50,453
20110530,50.74,50.74,50.03,50.03,660
20110531,51.07,51.09,51.07,51.09,119
20110601,51.09,51.09,51.09,51.09,0
20110602,50.5,50.52,50.49,50.49,1640
20110603,50.33,50.33,50.1,50.1,976
20110606,49.64,49.68,49.64,49.68,376
20110607,49.43,49.43,49.43,49.43,11
20110608,49.31,49.31,49.3,49.3,958
20110609,49.3,49.3,49.3,49.3,0
20110610,49.3,49.3,49.3,49.3,0
20110614,49.46,49.47,47.99,47.99,3654
20110615,49.74,49.74,49.74,49.74,15
20110616,49.74,49.74,49.74,49.74,0
20110617,48.01,48.01,48.01,48.01,15
20110620,48.01,48.01,48.01,48.01,0
20110621,48.01,48.01,48.01,48.01,0
20110622,48.01,48.01,48.01,48.01,0
20110623,48.65,48.65,48.5,48.5,209
20110624,48.4,48.4,48.02,48.02,1402
20110627,48.02,48.02,48.02,48.02,16
20110628,47.5,47.5,46.01,46.01,627
20110629,46.01,46.01,46.01,46.01,0
20110630,48.94,48.94,48.94,48.94,40
20110701,48.99,48.99,48.99,48.99,500
20110704,48.99,48.99,48.99,48.99,0
20110705,48.91,48.91,48.85,48.85,160
20110706,48.85,48.85,48.85,48.85,0
20110707,48.85,48.85,48.85,48.85,20000
20110708,49.7,49.7,49.7,49.7,4000
20110711,49.7,49.7,49.7,49.7,0
20110712,48.5,48.5,48.09,48.09,67
20110713,48.15,48.15,48.06,48.08,21415
20110714,48.08,48.08,48.08,48.08,0
20110715,48,48,47.92,47.92,16958
20110718,47.92,47.92,47.92,47.92,0
20110719,47.92,47.92,47.92,47.92,0
20110720,47.92,47.92,47.92,47.92,0
20110721,47.92,47.92,47.92,47.92,0
20110722,47.92,47.92,47.92,47.92,0
20110725,47.92,47.92,47.92,47.92,0
20110726,47.92,47.92,47.92,47.92,0
20110727,47.92,47.92,47.92,47.92,0
20110728,48.82,48.82,48.65,48.65,377
20110729,48.8,48.8,48.51,48.51,1024
20110801,48.97,48.98,48.97,48.98,710
20110802,48.64,48.64,48.64,48.64,11
20110803,47.67,47.67,47.67,47.67,203
20110804,47.26,47.26,47.26,47.26,50
20110805,46,46,44.37,44.57,934
20110808,43.95,43.95,43.95,43.95,675
20110809,40.35,40.35,40.35,40.35,10000
20110810,44.2,44.2,43.93,43.93,260
20110811,43.48,43.48,43.48,43.48,65
20110812,43.48,43.48,43.48,43.48,0
20110815,43.48,43.48,43.48,43.48,0
20110816,43.48,43.48,43.48,43.48,0
20110817,43.48,43.48,43.48,43.48,0
20110818,43.48,43.48,43.48,43.48,0
20110819,43.48,43.48,43.48,43.48,0
20110822,43.48,43.48,43.48,43.48,0
20110823,43.48,43.48,43.48,43.48,0
20110824,43.48,43.48,43.48,43.48,0
20110825,44.82,44.82,44.82,44.82,500
20110826,44.82,44.82,44.82,44.82,0
20110829,44.82,44.82,44.82,44.82,0
20110830,44.82,44.82,44.82,44.82,0
20110831,44.82,44.82,44.82,44.82,0
20110901,44.82,44.82,44.82,44.82,0
20110902,44.82,44.82,44.82,44.82,0
20110905,44.82,44.82,44.82,44.82,0
20110906,44.82,44.82,44.82,44.82,0
20110907,44.83,44.83,44.83,44.83,400
20110908,45.64,45.64,45.64,45.64,200
20110909,45.64,45.64,45.64,45.64,0
20110912,44.15,44.15,44.15,44.15,381
20110913,44.52,44.52,44.3,44.3,540
20110914,44.3,44.3,44.3,44.3,0
20110915,44.33,44.33,43.87,43.87,15586
20110916,43.87,43.87,43.87,43.87,0
