Date,Open,High,Low,Close,Volume
20180417,50.6,50.65,50.6,50.65,1810
20180418,50.93,50.93,50.9,50.9,286
20180419,50.9,50.9,50.9,50.9,0
20180420,50.9,50.9,50.9,50.9,0
20180423,50.9,50.9,50.9,50.9,0
20180424,52.14,52.14,52.12,52.12,14657
20180426,52.08,52.2,52.03,52.2,379
20180427,52.77,52.77,52.49,52.49,501
20180430,52.49,52.49,52.4,52.4,1076
20180501,52.25,52.25,52.18,52.18,195
20180502,52.25,52.25,52.25,52.25,100
20180503,52,52.05,52,52.05,4900
20180504,51.56,51.72,51.56,51.72,201
20180507,52.2,52.2,52.18,52.18,604
20180508,52.18,52.18,52.18,52.18,0
20180509,52.7,52.89,52.69,52.69,1502
20180510,53.08,53.08,53.08,53.08,2100
20180511,52.91,52.91,52.73,52.73,1360
20180514,52.99,52.99,52.99,52.99,399
20180515,52.99,52.99,52.99,52.99,0
20180516,53.43,53.43,53.43,53.43,1030
20180517,53.43,53.43,53.06,53.06,669
20180518,53.39,53.46,53.39,53.45,724
20180521,53.45,53.54,53.34,53.34,5375
20180522,53.22,53.22,53.03,53.03,528
20180523,53.05,53.05,53.05,53.05,283
20180524,52.99,52.99,52.6,52.6,5793
20180525,52.61,52.62,52.61,52.62,4000
20180528,52.65,52.65,52.4,52.41,925
20180529,52.5,52.5,52.47,52.47,26
20180530,52.14,52.14,51.95,52,4057
20180531,52,52.02,51.96,51.96,8309
20180601,51.86,51.86,51.71,51.71,1164
20180604,52,52,51.75,51.75,6164
20180605,51.68,51.68,51.68,51.68,1042
20180606,51.68,51.68,51.68,51.68,0
20180607,51.68,51.68,51.68,51.68,0
20180608,52.4,52.58,52.33,52.58,10033
20180612,52.58,52.58,52.58,52.58,0
20180613,53,53,53,53,513
20180614,53,53.08,53,53.08,846
20180615,53.75,53.75,53.4,53.4,18537
20180618,53.32,53.35,53.32,53.35,3832
20180619,53.38,53.38,53.34,53.34,1031
20180620,53.63,53.63,53.63,53.63,1874
20180621,53.83,53.95,53.83,53.86,9140
20180622,53.5,53.5,53.22,53.22,2780
20180625,53.03,53.08,52.9,53.08,534
20180626,53.08,53.08,53.08,53.08,0
20180627,53.08,53.08,53.08,53.08,0
20180628,52.9,52.9,52.9,52.9,1900
20180629,52.86,52.9,52.61,52.61,1288
20180702,52.2,52.2,49.75,49.75,5824
20180703,50.22,50.33,50.09,50.14,12274
20180704,49.86,49.86,49.74,49.83,1299
20180705,50.04,50.05,50.04,50.05,466
20180706,50.39,50.39,50.39,50.39,25
20180709,50.43,50.45,50.33,50.33,332
20180710,50.33,50.33,50.33,50.33,0
20180711,50.56,50.7,50.56,50.68,1171
20180712,50.71,50.71,50.5,50.5,661
20180713,50.53,50.58,50.35,50.35,1369
20180716,50.54,50.54,50.5,50.52,1312
20180717,50.25,50.25,50.25,50.25,397
20180718,50.8,50.8,50.8,50.8,500
20180719,50.7,50.7,50.24,50.24,687
20180720,50.85,50.87,50.81,50.81,895
20180723,50.28,50.28,50.05,50.12,5830
20180724,50.6,50.6,50.6,50.6,400
20180725,50.48,50.48,50.48,50.48,544
20180726,50.3,50.31,50.3,50.31,2688
20180727,51.3,51.3,51.29,51.29,253
20180730,51.06,51.06,50.96,51,557
20180731,51.1,51.1,51,51,3345
20180801,51.04,51.23,51.04,51.23,1059
20180802,51.06,51.09,50.95,51,3435
