Date,Open,High,Low,Close,Volume
20180903,5.02,5.02,5.02,5.02,176788
20180904,5.03,5.03,5,5,151900
20180905,5.02,5.02,4.99,4.99,138251
20180906,5.04,5.04,4.96,4.97,35100
20180907,4.96,4.97,4.96,4.97,76800
20180910,5.01,5.01,5.01,5.01,38408
20180911,5.02,5.02,5.01,5.01,20047
20180912,5.05,5.05,5.05,5.05,27933
20180913,5.03,5.03,4.97,5.01,47969
20180914,5.03,5.03,5.03,5.03,30589
20180917,5.02,5.06,5.02,5.06,50466
20180918,5.04,5.04,5.01,5.01,20040
20180919,5.01,5.01,4.99,5,60183
20180920,5,5,4.99,4.99,42693
20180921,5,5.01,5,5.01,30396
20180924,5.01,5.01,5.01,5.01,18560
20180925,5.02,5.02,5.02,5.02,6442
20180926,5.02,5.02,5.01,5.02,30402
20180927,5.02,5.02,5.02,5.02,9643
20180928,5.03,5.07,5.03,5.06,13081
20181001,5.05,5.05,5.03,5.04,14501
20181002,5.07,5.07,5.07,5.07,41380
20181003,5.07,5.08,5.07,5.08,38961
20181004,5.11,5.11,5.11,5.11,15085
20181005,5.1,5.1,5.06,5.06,19955
20181008,5.03,5.03,5.02,5.02,8081
20181009,4.99,4.99,4.96,4.96,29319
20181010,4.93,4.93,4.93,4.93,19313
20181011,4.92,4.92,4.79,4.79,1875
20181012,4.68,4.69,4.68,4.69,51777
20181015,4.77,4.77,4.77,4.77,8896
20181016,4.72,4.72,4.67,4.67,22479
20181017,4.81,4.81,4.81,4.81,16049
20181018,4.81,4.81,4.8,4.8,47833
20181019,4.74,4.74,4.7,4.7,16001
20181022,4.69,4.71,4.69,4.71,1754
20181023,4.7,4.73,4.7,4.73,12278
20181024,4.64,4.68,4.64,4.67,10273
20181025,4.6,4.6,4.55,4.55,15423
20181026,4.6,4.69,4.6,4.69,53174
20181029,4.58,4.58,4.58,4.58,14259
20181030,4.58,4.58,4.56,4.56,7654
20181031,4.55,4.64,4.55,4.64,3493
20181101,4.69,4.69,4.69,4.69,3131
20181102,4.8,4.8,4.69,4.7,36272
20181105,4.75,4.75,4.75,4.75,3824
20181106,4.73,4.74,4.73,4.74,8465
20181107,4.74,4.75,4.73,4.73,23808
20181108,4.8,4.8,4.79,4.79,10855
20181109,4.79,4.8,4.79,4.8,11346
20181112,4.77,4.77,4.76,4.76,12738
20181113,4.7,4.7,4.68,4.68,19618
20181114,4.69,4.69,4.68,4.69,33928
20181115,4.63,4.64,4.6,4.64,9613
20181116,4.71,4.71,4.7,4.7,9131
20181119,4.69,4.7,4.66,4.7,10589
20181120,4.67,4.67,4.61,4.61,11607
20181121,4.6,4.6,4.55,4.55,3812
20181122,4.59,4.62,4.59,4.62,15957
20181123,4.61,4.61,4.61,4.61,6474
20181126,4.62,4.62,4.58,4.62,30257
20181127,4.64,4.68,4.64,4.64,21860
20181128,4.68,4.69,4.68,4.68,35493
20181129,4.73,4.74,4.71,4.73,31894
20181130,4.74,4.75,4.74,4.75,37707
20181203,4.74,4.75,4.74,4.75,13687
20181204,4.77,4.8,4.76,4.8,109099
20181205,4.66,4.75,4.66,4.75,78506
20181206,4.71,4.75,4.71,4.75,25670
20181207,4.71,4.74,4.71,4.71,17625
20181210,4.64,4.65,4.64,4.65,31296
20181211,4.64,4.65,4.64,4.65,6735
20181212,4.65,4.67,4.65,4.67,86827
20181213,4.69,4.71,4.68,4.71,13341
20181214,4.68,4.71,4.66,4.68,33512
20181217,4.61,4.62,4.61,4.61,46165
20181218,4.61,4.61,4.5,4.51,10702
20181219,4.5,4.51,4.5,4.51,20651
20181220,4.53,4.53,4.52,4.53,21185
20181221,4.5,4.5,4.45,4.45,46102
20181224,4.47,4.47,4.42,4.42,22970
20181227,4.48,4.5,4.48,4.5,24983
20181228,4.5,4.5,4.5,4.5,0
20181231,4.55,4.55,4.55,4.55,6286
20190102,4.6,4.6,4.58,4.58,16450
20190103,4.65,4.65,4.63,4.63,1359
20190104,4.45,4.46,4.44,4.45,33220
20190107,4.52,4.53,4.52,4.53,22989
20190108,4.56,4.58,4.56,4.58,20798
20190109,4.59,4.6,4.57,4.6,64375
20190110,4.64,4.64,4.64,4.64,12575
20190111,4.65,4.65,4.61,4.64,10137
20190114,4.64,4.64,4.64,4.64,0
20190115,4.59,4.59,4.59,4.59,12869
20190116,4.65,4.67,4.65,4.67,5602
20190117,4.7,4.7,4.7,4.7,14244
20190118,4.71,4.71,4.69,4.7,4017
20190121,4.77,4.77,4.76,4.77,41360
20190122,4.75,4.75,4.74,4.74,5318
20190123,4.75,4.75,4.71,4.73,30371
20190124,4.7,4.75,4.7,4.75,3760
20190125,4.76,4.78,4.76,4.78,5629
20190129,4.78,4.78,4.78,4.78,0
20190130,4.75,4.75,4.72,4.73,12722
20190131,4.74,4.75,4.72,4.75,6277
20190201,4.8,4.8,4.8,4.8,8912
20190204,4.81,4.81,4.81,4.81,9949
20190205,4.82,4.82,4.82,4.82,5276
20190206,4.87,4.93,4.86,4.93,31714
20190207,4.94,4.94,4.93,4.93,34447
20190208,4.91,4.93,4.91,4.93,9812
20190211,4.93,4.93,4.93,4.93,35361
20190212,4.96,4.96,4.94,4.95,58704
20190213,4.98,4.98,4.96,4.96,39832
20190214,4.96,4.99,4.96,4.98,36651
20190215,4.97,4.98,4.97,4.97,85833
20190218,4.98,4.99,4.97,4.99,27259
