Date,Open,High,Low,Close,Volume
20131108,14.91,14.91,14.91,14.91,665
20131111,15.12,15.12,15.12,15.12,1311
20131112,15.12,15.12,15.12,15.12,0
20131113,15.16,15.16,15.16,15.16,1984
20131114,15.21,15.21,15.21,15.21,3311
20131115,15.24,15.27,15.24,15.27,1961
20131118,15.21,15.21,15.21,15.21,3367
20131119,15.19,15.19,15.15,15.15,4941
20131120,15.11,15.11,15.11,15.11,492
20131121,15.11,15.11,15.11,15.11,0
20131122,15.33,15.33,15.33,15.33,978
20131125,15.54,15.54,15.5,15.53,3821
20131126,15.55,15.55,15.44,15.45,10492
20131127,15.49,15.49,15.48,15.48,3781
20131128,15.59,15.59,15.55,15.55,2600
20131129,15.61,15.61,15.61,15.61,3425
20131202,15.53,15.53,15.49,15.49,1520
20131203,15.45,15.45,15.41,15.41,3397
20131204,15.41,15.41,15.41,15.41,0
20131205,15.31,15.31,15.28,15.28,4739
20131206,15.25,15.25,15.25,15.25,2924
20131209,15.3,15.31,15.28,15.31,23553
20131210,15.31,15.31,15.31,15.31,0
20131211,15.31,15.31,15.2,15.2,17089
20131212,15.25,15.25,15.18,15.18,360
20131213,15.35,15.38,15.35,15.38,850
20131216,15.36,15.36,15.27,15.27,7534
20131217,15.51,15.53,15.51,15.51,4900
20131218,16.5,16.5,16.5,16.5,310
20131219,15.85,15.85,15.81,15.84,3679
20131220,15.75,15.77,15.75,15.77,989
20131223,15.85,15.85,15.85,15.85,1
20131224,15.87,15.88,15.87,15.88,4350
20131227,16.06,16.06,16.06,16.06,1243
20131230,16.12,16.12,16.11,16.11,15150
20131231,15.99,15.99,15.99,15.99,1877
20140102,16.06,16.07,16.06,16.07,19358
20140103,16.11,16.11,15.86,15.86,3047
20140106,15.77,15.77,15.75,15.75,2544
20140107,15.78,15.85,15.78,15.84,4820
20140108,15.87,15.89,15.87,15.89,2804
20140109,15.89,15.89,15.89,15.89,0
20140110,15.93,15.95,15.93,15.95,2410
20140113,15.9,15.9,15.8,15.8,1105
20140114,15.71,15.71,15.7,15.7,14270
20140115,15.96,15.97,15.96,15.96,8675
20140116,15.96,15.96,15.96,15.96,0
20140117,15.96,15.96,15.96,15.96,0
20140120,16.26,16.26,16.26,16.26,4550
20140121,16.27,16.27,16.26,16.26,1550
20140122,16.26,16.26,16.26,16.26,0
20140123,16.24,16.3,16.24,16.24,8269
20140124,16.36,16.36,16.35,16.36,8168
20140128,16.1,16.11,16.09,16.09,4096
20140129,15.87,15.93,15.87,15.92,75108
20140130,15.84,15.84,15.84,15.84,75
20140131,15.85,15.85,15.83,15.84,5985
20140203,15.83,15.83,15.83,15.83,1608
20140204,15.63,15.63,15.63,15.63,3215
20140205,15.41,15.41,15.4,15.4,1300
20140206,15.44,15.44,15.44,15.44,1000
20140207,15.5,15.54,15.5,15.54,838
20140210,15.73,15.78,15.73,15.78,1779
20140211,15.7,15.7,15.69,15.69,4010
20140212,15.68,15.7,15.68,15.7,625
20140213,15.72,15.82,15.72,15.82,4120
20140214,15.93,15.93,15.85,15.85,5380
20140217,15.88,15.88,15.86,15.86,715
20140218,15.91,15.91,15.91,15.91,1568
20140219,16.04,16.04,16.04,16.04,760
20140220,15.82,15.82,15.82,15.82,350
20140221,15.82,15.82,15.82,15.82,0
20140224,15.96,15.96,15.96,15.96,1253
20140225,15.94,15.98,15.94,15.97,3176
20140226,15.97,15.97,15.97,15.97,0
20140227,16.02,16.02,16.02,16.02,4295
20140228,16.21,16.21,16.21,16.21,1625
20140303,16.15,16.22,16.15,16.16,4008
20140304,16.11,16.11,16.04,16.04,2397
20140305,16.04,16.04,16.04,16.04,0
20140306,16.15,16.17,16.15,16.16,7257
20140307,16.16,16.17,16.15,16.15,3087
20140310,16.08,16.09,16.08,16.09,5561
20140311,16.09,16.09,16.09,16.09,0
20140312,16.18,16.2,16.14,16.19,64608
20140313,16.24,16.25,16.14,16.18,82973
20140314,16.04,16.19,16.04,16.07,91499
20140317,15.94,15.94,15.93,15.93,4790
20140318,16.05,16.08,16.05,16.07,10816
20140319,16.12,16.12,16.12,16.12,1913
20140320,16.12,16.12,16.12,16.12,0
20140321,16.11,16.11,16.05,16.1,2457
