Date,Open,High,Low,Close,Volume
20131115,15.18,15.18,15.18,15.18,660
20131118,15.18,15.18,15.18,15.18,0
20131119,15.6,15.6,15.6,15.6,1700
20131120,15.6,15.6,15.6,15.6,0
20131121,15.6,15.6,15.6,15.6,0
20131122,15.6,15.6,15.6,15.6,0
20131125,15.6,15.6,15.6,15.6,0
20131126,15.6,15.6,15.6,15.6,0
20131127,15.66,15.66,15.66,15.66,6000
20131128,15.83,15.83,15.83,15.83,640
20131129,15.9,15.9,15.9,15.9,628
20131202,15.9,15.9,15.9,15.9,0
20131203,15.9,15.9,15.9,15.9,0
20131204,15.8,15.8,15.8,15.8,1000
20131205,15.8,15.8,15.8,15.8,0
20131206,15.8,15.8,15.8,15.8,0
20131209,15.8,15.8,15.8,15.8,0
20131210,15.8,15.8,15.8,15.8,0
20131211,15.8,15.8,15.8,15.8,0
20131212,15.8,15.8,15.8,15.8,0
20131213,15.89,15.93,15.89,15.93,523
20131216,15.85,15.85,15.83,15.83,1159
20131217,15.85,15.85,15.85,15.85,675
20131218,15.85,15.85,15.85,15.85,0
20131219,16.19,16.19,16.08,16.08,2303
20131220,16.08,16.08,16.08,16.08,0
20131223,16.08,16.08,16.08,16.08,0
20131224,16.08,16.08,16.08,16.08,0
20131227,16.08,16.08,16.08,16.08,0
20131230,16.08,16.08,16.08,16.08,0
20131231,16.08,16.08,16.08,16.08,0
20140102,16.07,16.07,16.07,16.07,100
20140103,16,16,15.7,15.7,850
20140106,15.75,15.75,15.75,15.75,510
20140107,15.75,15.75,15.75,15.75,0
20140108,15.75,15.75,15.75,15.75,0
20140109,15.75,15.75,15.75,15.75,0
20140110,15.75,15.75,15.75,15.75,0
20140113,15.75,15.75,15.75,15.75,0
20140114,15.75,15.75,15.75,15.75,0
20140115,15.78,15.78,15.78,15.78,170
20140116,15.78,15.78,15.78,15.78,0
20140117,15.78,15.78,15.78,15.78,0
20140120,15.78,15.78,15.78,15.78,0
20140121,15.78,15.78,15.78,15.78,0
20140122,15.78,15.78,15.78,15.78,0
20140123,15.78,15.78,15.78,15.78,0
20140124,15.78,15.78,15.78,15.78,0
20140128,15.77,15.77,15.39,15.39,4035
20140129,15.48,15.58,15.48,15.58,4965
20140130,15.58,15.58,15.58,15.58,0
20140131,15.58,15.58,15.58,15.58,0
20140203,15.36,15.36,15.36,15.36,510
20140204,15.3,15.3,15.3,15.3,32
20140205,15.3,15.3,15.3,15.3,0
20140206,15.3,15.3,15.3,15.3,0
20140207,15.3,15.3,15.3,15.3,0
20140210,15.25,15.25,15.25,15.25,164
20140211,15.25,15.25,15.25,15.25,0
20140212,15.23,15.23,15.23,15.23,656
20140213,15.23,15.23,15.23,15.23,0
20140214,15.23,15.23,15.23,15.23,0
20140217,15.23,15.23,15.23,15.23,0
20140218,15.23,15.23,15.23,15.23,0
20140219,15.23,15.23,15.23,15.23,0
20140220,15.23,15.23,15.23,15.23,0
20140221,15.4,15.4,15.4,15.4,4870
20140224,15.4,15.4,15.4,15.4,0
20140225,15.35,15.35,15.35,15.35,660
20140226,15.35,15.35,15.35,15.35,0
20140227,15.35,15.35,15.35,15.35,0
20140228,15.35,15.35,15.35,15.35,0
20140303,15.44,15.44,15.44,15.44,650
20140304,15.44,15.44,15.44,15.44,0
20140305,15.44,15.44,15.44,15.44,0
20140306,15.44,15.44,15.44,15.44,0
20140307,15.44,15.44,15.44,15.44,0
20140310,15.44,15.44,15.44,15.44,0
20140311,15.44,15.44,15.44,15.44,0
20140312,15.44,15.44,15.44,15.44,0
20140313,15.44,15.44,15.44,15.44,0
20140314,14.79,14.79,14.79,14.79,628
20140317,14.79,14.79,14.79,14.79,0
20140318,14.79,14.79,14.79,14.79,0
20140319,14.95,14.95,14.95,14.95,656
20140320,14.95,14.95,14.95,14.95,0
20140321,14.95,14.95,14.95,14.95,0
20140324,14.95,14.95,14.95,14.95,0
20140325,14.95,14.95,14.95,14.95,0
20140326,14.95,14.95,14.95,14.95,0
20140327,14.95,14.95,14.95,14.95,0
20140328,14.95,14.95,14.95,14.95,0
20140331,14.95,14.95,14.95,14.95,0
20140401,15.34,15.34,15.34,15.34,80
20140402,15.34,15.34,15.34,15.34,0
20140403,15.34,15.34,15.34,15.34,0
20140404,15.34,15.34,15.34,15.34,0
20140407,15.34,15.34,15.34,15.34,0
20140408,15.34,15.34,15.34,15.34,0
20140409,15.34,15.34,15.34,15.34,0
20140410,15.44,15.5,15.44,15.48,5290
20140411,15.48,15.48,15.48,15.48,0
20140414,15.48,15.48,15.48,15.48,0
20140415,15.48,15.48,15.48,15.48,0
20140416,15.48,15.48,15.48,15.48,0
20140417,15.48,15.48,15.48,15.48,0
20140422,15.4,15.4,15.31,15.31,106
20140423,15.31,15.31,15.31,15.31,0
20140424,15.31,15.31,15.31,15.31,0
20140428,15.31,15.31,15.31,15.31,0
20140429,15.31,15.31,15.31,15.31,0
20140430,15.31,15.31,15.31,15.31,0
20140501,15.31,15.31,15.31,15.31,0
20140502,15.31,15.31,15.31,15.31,0
20140505,15.31,15.31,15.31,15.31,0
20140506,15.31,15.31,15.31,15.31,0
20140507,15.31,15.31,15.31,15.31,66
20140508,15.54,15.54,15.54,15.54,56
20140509,15.48,15.48,15.48,15.48,256
20140512,15.48,15.48,15.48,15.48,0
20140513,15.48,15.48,15.48,15.48,0
20140514,15.48,15.48,15.48,15.48,0
20140515,15.48,15.48,15.48,15.48,0
20140516,15.66,15.74,15.66,15.74,86
20140519,15.74,15.74,15.74,15.74,0
20140520,15.74,15.74,15.74,15.74,0
20140521,15.74,15.74,15.74,15.74,0
20140522,16.1,16.1,16.1,16.1,450
20140523,16.1,16.1,16.1,16.1,0
20140526,16.1,16.1,16.1,16.1,0
20140527,16.1,16.1,16.1,16.1,0
20140528,16.1,16.1,16.1,16.1,0
20140529,16.1,16.1,16.1,16.1,650
20140530,16.1,16.1,16.1,16.1,0
20140602,16.1,16.1,16.1,16.1,0
20140603,16.05,16.05,16.03,16.03,6766
20140604,16.03,16.03,16.03,16.03,0
20140605,16.03,16.03,16.03,16.03,0
20140606,16.03,16.03,16.03,16.03,0
20140610,16.15,16.15,16.15,16.15,35
20140611,16.15,16.15,16.15,16.15,0
20140612,16.15,16.15,16.15,16.15,0
20140613,16.15,16.15,16.15,16.15,70
20140616,16.15,16.15,16.13,16.13,1500
20140617,16.15,16.16,16.15,16.16,2046
20140618,16.16,16.16,16.16,16.16,0
20140619,16.16,16.16,16.16,16.16,0
20140620,16.15,16.15,16.15,16.15,217
20140623,16.09,16.09,16.09,16.09,620
20140624,16.09,16.09,16.09,16.09,0
20140625,16.09,16.09,16.09,16.09,0
20140626,15.95,15.95,15.95,15.95,200
20140627,15.95,15.95,15.95,15.95,0
20140630,15.95,15.95,15.95,15.95,0
20140701,16.05,16.05,16.05,16.05,69
20140702,16.05,16.05,16.05,16.05,0
20140703,16.05,16.05,16.05,16.05,0
20140704,16.05,16.05,16.05,16.05,0
20140707,16.05,16.05,16.05,16.05,0
20140708,16.05,16.05,16.05,16.05,0
20140709,16.05,16.05,16.05,16.05,0
20140710,16.18,16.18,16.18,16.18,2800
20140711,16.17,16.17,16.15,16.15,1788
20140714,16.15,16.15,16.15,16.15,0
20140715,16.36,16.36,16.36,16.36,500
20140716,16.36,16.36,16.36,16.36,0
