Date,Open,High,Low,Close,Volume
20221123,10.32,10.32,10.25,10.25,96055
20221124,10.28,10.28,10.23,10.25,42866
20221125,10.25,10.25,10.23,10.25,24133
20221128,10.26,10.26,10.07,10.07,16237
20221129,10.23,10.25,10.19,10.25,27117
20221130,10.4,10.42,10.38,10.42,14583
20221201,10.84,10.86,10.57,10.62,87011
20221202,10.9,10.9,10.55,10.67,6399
20221205,10.89,10.89,10.82,10.85,83238
20221206,10.82,10.89,10.75,10.84,65937
20221207,10.84,10.85,10.73,10.73,73481
20221208,10.73,10.73,10.55,10.63,26263
20221209,10.78,10.91,10.78,10.89,51541
20221212,10.8,10.8,10.65,10.68,51739
20221213,10.78,10.78,10.74,10.74,16619
20221214,10.91,10.91,10.66,10.8,36764
20221215,10.83,10.83,10.68,10.7,26186
20221216,10.65,10.73,10.6,10.67,6351
20221219,10.77,10.83,10.67,10.67,171
20221220,10.68,10.68,10.47,10.47,42937
20221221,10.56,10.77,10.56,10.73,49292
20221222,10.92,10.94,10.9,10.92,6995
20221223,10.71,10.71,10.55,10.66,17447
20221228,10.83,10.83,10.61,10.75,28212
20221229,10.75,10.75,10.65,10.73,553
20221230,10.73,10.78,10.73,10.73,3231
20230103,11,11,10.58,10.72,7367
20230104,10.72,10.78,10.71,10.71,9484
20230105,10.73,10.74,10.65,10.74,11220
20230106,11.02,11.08,10.94,11.08,4505
20230109,11.1,11.28,11.1,11.28,54962
20230110,11.4,11.48,11.4,11.45,34924
20230111,11.49,11.76,11.49,11.73,73703
20230112,11.75,11.78,11.68,11.68,15568
20230113,11.95,12.16,11.87,11.91,23541
20230116,11.96,12.55,11.76,11.76,46571
20230117,11.82,11.82,11.52,11.56,110122
20230118,11.67,11.67,11.58,11.63,27770
20230119,11.82,11.82,11.65,11.74,43844
20230120,11.99,11.99,11.84,11.87,40830
20230123,11.96,11.98,11.92,11.97,26850
20230124,11.95,11.95,11.74,11.88,29602
20230125,11.85,11.89,11.7,11.7,29573
20230127,11.88,11.88,11.75,11.79,7089
20230130,11.81,11.82,11.7,11.74,29330
20230131,11.7,11.7,11.5,11.59,14045
20230201,11.61,11.77,11.61,11.74,30693
20230202,11.85,11.86,11.8,11.84,43287
20230203,11.91,11.91,11.46,11.46,67519
20230206,11.46,11.58,11.46,11.52,15126
20230207,11.52,11.52,11.4,11.4,57879
20230208,11.41,11.58,11.41,11.56,24068
20230209,11.59,11.59,11.47,11.53,23158
20230210,11.55,11.55,11.36,11.36,44623
20230213,11.3,11.3,11.1,11.19,32984
20230214,11.27,11.3,11.2,11.29,19123
20230215,11.36,11.36,11.18,11.19,13380
20230216,11.4,11.44,11.4,11.42,16834
20230217,11.53,11.53,11.4,11.5,23200
20230220,11.73,11.73,11.47,11.5,6718
20230221,11.56,11.62,11.56,11.62,21514
20230222,11.62,11.68,11.51,11.52,28753
20230223,11.6,11.6,11.38,11.38,8767
20230224,11.38,11.38,11.14,11.14,40714
20230227,11.15,11.15,10.98,11,27971
20230228,11,11.19,11,11.09,28153
20230301,11.21,11.51,11.21,11.51,27253
20230302,11.79,11.87,11.74,11.79,12088
20230303,11.8,11.8,11.64,11.73,33580
20230306,11.89,11.89,11.72,11.87,9487
20230307,11.72,11.75,11.7,11.7,8155
20230308,11.37,11.6,11.2,11.6,10962
20230309,11.55,11.55,11.42,11.42,5722
20230310,11.2,11.2,10.96,10.98,22796
20230313,10.98,11.22,10.98,11.21,2643
20230314,11.07,11.07,10.9,10.91,41116
20230315,10.91,11.3,10.91,11.29,29130
20230316,11.01,11.01,10.46,10.61,78127
20230317,10.71,10.73,10.555,10.66,9252
20230320,10.69,10.72,10.6,10.6,15917
20230321,11.13,11.13,10.83,10.9,28844
20230322,11.07,11.07,10.93,11.05,24631
20230323,11.1,11.18,10.89,11.07,50367
20230324,10.96,11.27,10.95,11.27,72735
20230327,11.47,11.47,11,11.15,71994
20230328,11.17,11.24,11.12,11.14,20749
20230329,11.215,11.36,11.215,11.28,93928
20230330,11.34,11.46,11.31,11.39,38594
20230331,11.61,11.62,11.51,11.6,25483
20230403,11.69,11.73,11.5,11.5,41990
20230404,11.52,11.67,11.52,11.65,56626
20230405,11.67,11.76,11.46,11.56,713198
20230406,11.56,11.68,11.51,11.66,238690
20230411,11.78,11.99,11.72,11.84,223883
20230412,11.94,12.38,11.94,12.38,193402
20230413,12.28,12.3,12.09,12.1,143215
20230414,12.28,12.58,12.18,12.58,114740
20230417,12.75,12.77,12.43,12.6,139160
20230418,12.7,12.7,12.46,12.5,58110
20230419,12.44,12.93,12.44,12.74,30284
20230420,12.74,12.74,12.44,12.47,45959
20230421,12.5,12.6,12.18,12.26,74700
20230424,12.03,12.1,11.88,11.88,158707
20230426,11.89,11.9,11.61,11.85,37354
20230427,11.86,11.87,11.77,11.84,104700
20230428,11.93,11.96,11.87,11.93,120795
20230501,11.93,11.93,11.82,11.93,9955
20230502,11.93,12.01,11.77,11.865,29985
20230503,11.87,11.88,11.62,11.8,45901
20230504,11.82,11.92,11.7,11.89,15072
20230505,11.95,11.98,11.66,11.75,52773
20230508,12.05,12.05,11.835,11.94,23190
20230509,11.91,12.02,11.91,11.96,45170
20230510,12.03,12.05,11.9,12.05,34285
20230511,11.85,11.86,11.53,11.58,127278
20230512,11.55,11.55,11.03,11.05,90809
20230515,11.13,11.25,11.13,11.21,174586
20230516,11.41,11.52,11.41,11.45,38448
20230517,11.4,11.46,11.29,11.31,98145
20230518,11.39,11.52,11.31,11.4,62493
20230519,11.44,11.44,11.18,11.21,69945
20230522,11.25,11.25,11.12,11.12,72843
20230523,11.2,11.21,11.08,11.14,64100
20230524,11.05,11.05,10.8,10.9,105827
20230525,11.02,11.12,10.76,10.76,117558
20230526,10.8,10.88,10.76,10.85,69889
20230529,10.91,11.11,10.91,11.04,65897
20230530,11.06,11.06,10.88,10.91,75495
20230531,10.83,10.92,10.71,10.72,70054
20230601,10.71,10.8,10.64,10.77,65494
20230602,10.94,11.21,10.93,11.06,106856
20230605,11.42,11.45,11.24,11.3,67897
20230606,11.3,11.3,11.13,11.2,47052
20230607,11.2,11.3,11.14,11.18,58095
20230608,11.15,11.2,11.12,11.15,24753
20230609,11.24,11.28,11.21,11.25,107387
20230613,11.26,11.27,11.11,11.27,32769
20230614,11.28,11.48,11.28,11.41,107224
20230615,11.6,11.74,11.42,11.49,114790
20230616,11.56,11.79,11.55,11.79,79360
20230619,11.73,11.73,11.49,11.73,35115
20230620,11.65,11.69,11.5,11.54,46599
20230621,11.52,11.66,11.41,11.66,159667
20230622,11.63,11.63,11.41,11.56,47658
20230623,11.56,11.56,11.31,11.31,62921
20230626,11.28,11.47,11.27,11.33,33546
20230627,11.45,11.67,11.39,11.47,67032
20230628,11.47,11.57,11.41,11.5,62636
20230629,11.45,11.47,11.37,11.37,40788
20230630,11.37,11.45,11.31,11.44,30992
20230703,11.64,11.64,11.52,11.57,44120
20230704,11.7,11.78,11.56,11.59,35966
20230705,11.88,11.88,11.57,11.58,48831
20230706,11.51,11.51,11.36,11.39,62665
20230707,11.19,11.22,11.11,11.15,30802
20230710,11.28,11.41,11.21,11.21,39257
20230711,11.55,11.55,11.41,11.53,25032
20230712,11.64,11.64,11.53,11.59,42711
20230713,11.75,11.82,11.74,11.8,37688
20230714,11.9,11.95,11.88,11.92,63666
20230717,11.85,11.85,11.82,11.82,41675
20230718,11.76,11.83,11.67,11.67,42415
20230719,11.75,11.84,11.69,11.77,38923
20230720,11.82,11.84,11.74,11.74,56647
20230721,11.71,11.89,11.71,11.8,28775
20230724,11.87,11.87,11.72,11.75,70655
20230725,11.82,11.97,11.81,11.96,181371
20230726,12.14,12.28,12.14,12.27,77287
20230727,12.27,12.28,12.18,12.27,121924
20230728,12.27,12.54,12.27,12.51,74687
20230731,12.53,12.58,12.41,12.49,89243
20230801,12.7,12.7,12.62,12.66,64871
20230802,12.52,12.64,12.5,12.64,60490
20230803,12.36,12.46,12.26,12.46,46645
