Date,Open,High,Low,Close,Volume
20151221,10.03,10.03,10.03,10.03,1840
20151222,10.03,10.03,10.03,10.03,0
20151223,10.03,10.03,10.03,10.03,0
20151224,10.03,10.03,10.03,10.03,0
20151229,10.03,10.03,10.03,10.03,0
20151230,10.03,10.03,10.03,10.03,0
20151231,10.03,10.03,10.03,10.03,0
20160104,10.03,10.03,10.03,10.03,0
20160105,10.05,10.05,10.05,10.05,2985
20160106,10.05,10.05,10.05,10.05,0
20160107,10.01,10.01,10.01,10.01,250
20160108,10.01,10.01,10.01,10.01,0
20160111,10.01,10.01,10.01,10.01,0
20160112,10.01,10.01,10.01,10.01,50
20160113,10.01,10.01,10.01,10.01,0
20160114,9.95,9.95,9.95,9.95,2572
20160115,9.89,9.89,9.89,9.89,50
20160118,9.89,9.89,9.89,9.89,0
20160119,9.89,9.89,9.89,9.89,0
20160120,9.89,9.89,9.89,9.89,0
20160121,9.8,9.8,9.8,9.8,56
20160122,9.8,9.8,9.8,9.8,0
20160125,9.8,9.8,9.8,9.8,0
20160127,9.8,9.8,9.8,9.8,0
20160128,9.83,9.83,9.82,9.82,7631
20160129,9.76,9.77,9.76,9.77,5080
20160201,9.77,9.77,9.77,9.77,0
20160202,9.77,9.77,9.77,9.77,0
20160203,9.85,9.85,9.85,9.85,5090
20160204,9.75,9.77,9.75,9.77,210
20160205,9.77,9.77,9.77,9.77,0
20160208,9.77,9.77,9.77,9.77,0
20160209,9.77,9.77,9.77,9.77,0
20160210,9.77,9.77,9.77,9.77,0
20160211,9.61,9.62,9.61,9.62,4168
20160212,9.64,9.64,9.57,9.57,3708
20160215,9.63,9.63,9.62,9.62,6309
20160216,9.71,9.71,9.7,9.7,17442
20160217,9.73,9.73,9.73,9.73,17
20160218,9.75,9.75,9.75,9.75,6000
20160219,9.77,9.78,9.77,9.78,4093
20160222,9.76,9.77,9.75,9.77,7668
20160223,9.7,9.71,9.7,9.71,4190
20160224,9.71,9.71,9.71,9.71,0
20160225,9.71,9.71,9.71,9.71,0
20160226,9.71,9.71,9.71,9.71,0
20160229,9.71,9.71,9.71,9.71,0
20160301,9.79,9.79,9.79,9.79,7151
20160302,9.79,9.79,9.79,9.79,0
20160303,9.78,9.78,9.78,9.78,2304
20160304,9.76,9.76,9.76,9.76,511
20160307,9.76,9.76,9.76,9.76,8681
20160308,9.74,9.74,9.74,9.74,512
20160309,9.72,9.73,9.72,9.73,2349
20160310,9.7,9.7,9.7,9.7,500
20160311,9.67,9.68,9.67,9.68,5500
20160314,9.69,9.69,9.69,9.69,2570
20160315,9.75,9.75,9.75,9.75,2050
20160316,9.76,9.76,9.76,9.76,10359
20160317,9.76,9.76,9.76,9.76,0
20160318,9.71,9.71,9.71,9.71,2230
20160321,9.71,9.71,9.71,9.71,0
20160322,9.71,9.71,9.71,9.71,0
20160323,9.71,9.71,9.71,9.71,0
20160324,9.72,9.75,9.72,9.75,27187
20160329,9.72,9.72,9.7,9.7,5815
20160330,9.7,9.7,9.7,9.7,0
20160331,9.69,9.69,9.69,9.69,1959
20160401,9.69,9.69,9.69,9.69,0
20160404,9.66,9.66,9.65,9.65,785
20160405,9.68,9.68,9.65,9.65,1716
20160406,9.65,9.65,9.65,9.65,0
20160407,9.64,9.67,9.64,9.67,359
20160408,9.7,9.7,9.7,9.7,1267
20160411,9.7,9.72,9.7,9.72,2005
20160412,9.67,9.67,9.67,9.67,2000
20160413,9.67,9.69,9.65,9.69,8376
20160414,9.76,9.76,9.76,9.76,358
20160415,9.76,9.76,9.76,9.76,461
20160418,9.78,9.78,9.75,9.75,9188
20160419,9.7,9.71,9.7,9.7,10569
20160420,9.7,9.7,9.7,9.7,0
20160421,9.75,9.75,9.75,9.75,2061
20160422,9.75,9.75,9.75,9.75,0
20160426,9.78,9.78,9.78,9.78,3589
20160427,9.81,9.81,9.81,9.81,549
20160428,9.92,9.92,9.88,9.88,14599
20160429,9.81,9.81,9.81,9.81,3542
20160502,9.76,9.76,9.76,9.76,1959
20160503,9.76,9.76,9.76,9.76,654
20160504,9.86,9.87,9.86,9.87,1530
20160505,9.85,9.85,9.85,9.85,2533
20160506,9.85,9.85,9.85,9.85,0
20160509,9.85,9.85,9.85,9.85,0
20160510,10,10,10,10,2538
20160511,10.04,10.04,10.04,10.04,613
20160512,9.98,10.02,9.98,10.02,6951
20160513,10.02,10.02,10.02,10.02,0
20160516,10.02,10.02,10.02,10.02,0
20160517,10.02,10.02,10.02,10.02,0
20160518,10.02,10.02,10.02,10.02,0
20160519,10.02,10.02,10.02,10.02,0
20160520,10.02,10.02,10.02,10.02,0
20160523,10.02,10.02,10.02,10.02,0
20160524,10.13,10.13,10.13,10.13,1800
20160525,10.13,10.13,10.13,10.13,0
20160526,10.13,10.13,10.13,10.13,0
20160527,10.26,10.26,10.26,10.26,5611
20160530,10.35,10.37,10.35,10.36,6150
