Date,Open,High,Low,Close,Volume
20130709,15.14,15.14,15.14,15.14,35
20130710,15.14,15.14,15.14,15.14,0
20130711,15.39,15.39,15.39,15.39,650
20130712,15.35,15.37,15.35,15.36,8043
20130715,15.43,15.43,15.43,15.43,6470
20130716,15.35,15.35,15.35,15.35,290
20130717,15.41,15.41,15.4,15.4,8250
20130718,15.47,15.47,15.47,15.47,455
20130719,15.5,15.5,15.5,15.5,2080
20130722,15.6,15.6,15.59,15.59,7115
20130723,15.57,15.62,15.57,15.62,5670
20130724,15.57,15.57,15.57,15.57,9003
20130725,15.58,15.58,15.58,15.58,3250
20130726,15.56,15.58,15.56,15.58,5388
20130729,15.45,15.47,15.45,15.47,15105
20130730,15.49,15.49,15.49,15.49,4570
20130731,15.52,15.52,15.52,15.52,3820
20130801,15.53,15.54,15.53,15.54,3972
20130802,15.73,15.74,15.73,15.73,2375
20130805,15.72,15.75,15.72,15.75,5650
20130806,15.7,15.7,15.69,15.7,3630
20130807,15.62,15.62,15.62,15.62,2465
20130808,15.59,15.59,15.58,15.58,4485
20130809,15.58,15.58,15.58,15.58,1340
20130812,15.53,15.53,15.53,15.53,1615
20130813,15.57,15.58,15.57,15.58,2955
20130814,15.58,15.64,15.58,15.64,3170
20130815,15.61,15.61,15.6,15.6,6850
20130816,15.41,15.41,15.39,15.39,13700
20130819,15.42,15.42,15.4,15.4,1650
20130820,15.36,15.36,15.36,15.36,2600
20130821,15.32,15.32,15.28,15.29,6858
20130822,15.2,15.2,15.18,15.18,5099
20130823,15.38,15.38,15.38,15.38,880
20130826,15.38,15.38,15.38,15.38,0
20130827,15.39,15.39,15.39,15.39,1275
20130828,15.2,15.2,15.2,15.2,2450
20130829,15.18,15.18,15.18,15.18,2500
20130830,15.26,15.3,15.26,15.3,2925
20130902,15.25,15.25,15.25,15.25,400
20130903,15.38,15.38,15.38,15.38,700
20130904,15.35,15.38,15.35,15.38,825
20130905,15.46,15.46,15.46,15.46,985
20130906,15.49,15.54,15.49,15.5,4090
20130909,15.52,15.53,15.52,15.53,3321
20130910,15.63,15.63,15.63,15.63,2430
20130911,15.76,15.76,15.69,15.76,4830
20130912,15.76,15.76,15.76,15.76,0
20130913,15.7,15.7,15.7,15.7,1000
20130916,15.7,15.7,15.7,15.7,0
20130917,15.81,15.87,15.81,15.87,1225
20130918,15.9,15.9,15.9,15.9,1800
20130919,15.9,15.9,15.9,15.9,0
20130920,15.99,15.99,15.95,15.95,2734
20130923,15.95,15.95,15.95,15.95,0
20130924,15.81,15.87,15.81,15.87,826
20130925,15.92,15.92,15.92,15.92,1331
20130926,15.89,15.89,15.89,15.89,50
20130927,15.89,15.89,15.89,15.89,0
20130930,15.71,15.8,15.71,15.8,2255
20131001,15.8,15.8,15.8,15.8,0
20131002,15.87,15.87,15.87,15.87,1261
20131003,15.87,15.87,15.87,15.87,0
20131004,15.87,15.87,15.87,15.87,0
20131007,15.73,15.73,15.73,15.73,500
20131008,15.68,15.68,15.65,15.67,4477
20131009,15.68,15.68,15.61,15.61,4620
20131010,15.61,15.61,15.61,15.61,0
20131011,15.61,15.61,15.61,15.61,0
20131014,15.93,15.94,15.93,15.94,6196
20131015,16.07,16.08,16.07,16.08,2717
20131016,16.1,16.1,16.02,16.02,3642
20131017,16.2,16.2,16.18,16.18,6792
20131018,16.18,16.18,16.18,16.18,0
20131021,16.3,16.33,16.26,16.33,11740
20131022,16.31,16.31,16.3,16.3,2955
20131023,16.44,16.45,16.35,16.41,17088
20131024,16.39,16.4,16.39,16.4,16983
20131025,16.37,16.37,16.37,16.37,2450
20131028,16.49,16.49,16.48,16.48,2335
20131029,16.43,16.43,16.43,16.43,2434
20131030,16.48,16.48,16.47,16.47,1163
20131031,16.47,16.47,16.47,16.47,0
20131101,16.46,16.46,16.46,16.46,4453
20131104,16.47,16.5,16.47,16.5,2757
20131105,16.5,16.5,16.5,16.5,0
20131106,16.56,16.56,16.54,16.54,6378
20131107,16.51,16.51,16.51,16.51,8183
20131108,16.36,16.36,16.35,16.35,3811
20131111,16.48,16.53,16.46,16.53,8214
20131112,16.53,16.53,16.53,16.53,1212
20131113,16.5,16.5,16.45,16.45,1606
20131114,16.45,16.45,16.45,16.45,0
20131115,16.66,16.68,16.66,16.68,10850
20131118,16.68,16.68,16.68,16.68,0
20131119,16.68,16.68,16.68,16.68,0
20131120,16.66,16.66,16.66,16.66,6470
20131121,16.8,16.8,16.63,16.63,3411
20131122,16.83,16.83,16.83,16.83,1800
20131125,16.83,16.83,16.83,16.83,0
20131126,16.86,16.88,16.86,16.88,1411
20131127,16.78,16.79,16.78,16.79,7475
20131128,16.77,16.85,16.77,16.85,835
20131129,16.9,16.95,16.9,16.95,7176
20131202,16.9,16.9,16.86,16.86,3807
20131203,16.86,16.86,16.86,16.86,4000
20131204,16.75,16.75,16.75,16.75,656
20131205,16.68,16.68,16.68,16.68,5000
20131206,16.68,16.68,16.68,16.68,0
20131209,16.78,16.78,16.77,16.77,2095
20131210,16.77,16.77,16.77,16.77,0
20131211,16.73,16.73,16.73,16.73,4200
20131212,16.73,16.73,16.73,16.73,0
20131213,16.42,16.42,16.42,16.42,303
20131216,16.41,16.41,16.33,16.33,111
20131217,16.55,16.58,16.55,16.58,11635
20131218,16.54,16.54,16.54,16.54,5903
20131219,16.81,16.81,16.8,16.8,22120
20131220,16.85,16.86,16.85,16.86,10270
20131223,16.86,16.86,16.86,16.86,0
20131224,17.01,17.01,17.01,17.01,600
20131227,17.06,17.06,17.06,17.06,35
20131230,17.17,17.17,17.17,17.17,2900
20131231,17.16,17.16,17.16,17.16,31
20140102,17.23,17.23,17.23,17.23,2628
20140103,17.23,17.23,17.23,17.23,0
20140106,17.15,17.16,17.15,17.16,3377
20140107,17.55,17.55,17.55,17.55,854
20140108,17.55,17.55,17.45,17.45,10285
20140109,17.14,17.14,17.12,17.12,1598
20140110,17.12,17.12,17.12,17.12,0
20140113,17.15,17.15,17.15,17.15,1000
20140114,17.01,17.01,16.95,16.95,4651
20140115,17.19,17.19,17.19,17.19,1630
20140116,17.37,17.37,17.36,17.36,8092
20140117,17.27,17.29,17.26,17.29,10990
20140120,17.26,17.3,17.24,17.3,36595
20140121,17.32,17.39,17.32,17.39,6234
20140122,17.33,17.37,17.33,17.37,5406
20140123,17.51,17.53,17.4,17.4,22735
20140124,17.31,17.34,17.25,17.25,11682
20140128,17.15,17.15,16.85,16.9,14075
20140129,17.01,17.05,17.01,17.04,18814
20140130,16.67,16.67,16.6,16.6,2890
20140131,16.77,16.77,16.69,16.69,18985
20140203,16.79,16.79,16.75,16.77,2605
20140204,16.6,16.6,16.37,16.37,13369
20140205,16.5,16.5,16.25,16.28,8250
20140206,16.28,16.28,16.28,16.28,0
20140207,16.56,16.56,16.56,16.56,960
20140210,16.81,16.81,16.81,16.81,3855
20140211,16.81,16.81,16.81,16.81,0
20140212,16.98,16.98,16.97,16.97,3315
20140213,16.96,16.96,16.96,16.96,1558
20140214,17.06,17.07,17.06,17.07,4220
20140217,17.09,17.09,17.04,17.06,2969
20140218,17.08,17.12,17.08,17.12,5720
20140219,17.13,17.13,17.07,17.07,1545
20140220,17.07,17.07,17,17.01,14802
20140221,17.17,17.22,17.17,17.21,10030
20140224,17.15,17.15,17.09,17.09,4332
20140225,17.3,17.3,17.25,17.25,5520
20140226,17.25,17.25,17.25,17.25,0
20140227,17.21,17.21,17.21,17.21,330
20140228,17.3,17.3,17.26,17.26,4828
20140303,17.4,17.4,17.05,17.1,13226
20140304,17.08,17.08,17.06,17.07,4230
20140305,17.26,17.3,17.26,17.3,503
20140306,17.38,17.38,17.38,17.38,575
20140307,17.41,17.41,17.41,17.41,475
20140310,17.41,17.41,17.41,17.41,0
20140311,17.34,17.34,17.34,17.34,850
20140312,17.23,17.23,17.2,17.2,1660
20140313,17.26,17.26,17.25,17.25,2052
20140314,17.05,17.05,17.04,17.04,2656
20140317,16.91,16.91,16.91,16.91,1000
20140318,17.1,17.1,17.1,17.1,438
20140319,17.12,17.2,17.12,17.2,5220
20140320,17.08,17.08,17,17,3139
20140321,17,17,17,17,0
20140324,17.13,17.13,17.11,17.13,4429
20140325,17.01,17.01,17.01,17.01,3200
20140326,17.15,17.15,17.15,17.15,2451
20140327,17.07,17.07,16.98,17,15805
20140328,17.13,17.13,17.09,17.09,5820
20140331,17.26,17.26,17.18,17.19,10422
20140401,17.23,17.31,17.23,17.31,2991
20140402,17.44,17.54,17.44,17.54,1028
20140403,17.56,17.56,17.52,17.52,2368
20140404,17.51,17.51,17.51,17.51,285
20140407,17.3,17.31,17.25,17.25,2487
20140408,17.25,17.25,17.25,17.25,0
20140409,17.2,17.2,17.2,17.2,4371
20140410,17.3,17.3,17.3,17.3,7375
20140411,16.98,17.01,16.98,17.01,3528
20140414,16.91,16.91,16.91,16.91,2330
20140415,16.91,16.91,16.91,16.91,0
20140416,17.2,17.24,17.2,17.24,1020
20140417,17.29,17.29,17.29,17.29,1480
20140422,17.38,17.38,17.31,17.38,2910
20140423,17.38,17.38,17.38,17.38,0
20140424,17.48,17.48,17.48,17.48,1420
20140428,17.26,17.35,17.26,17.35,6728
20140429,17.35,17.35,17.35,17.35,0
20140430,17.35,17.35,17.35,17.35,0
20140501,17.52,17.53,17.52,17.53,6870
20140502,17.5,17.5,17.47,17.5,1645
20140505,17.44,17.44,17.44,17.44,655
20140506,17.44,17.44,17.44,17.44,0
20140507,17.15,17.15,17.15,17.15,1486
20140508,17.32,17.32,17.28,17.28,1145
20140509,17.25,17.25,17.25,17.25,2877
20140512,17.25,17.25,17.25,17.25,0
20140513,17.63,17.65,17.63,17.65,6779
20140514,17.65,17.65,17.65,17.65,0
20140515,17.55,17.59,17.55,17.59,3139
20140516,17.48,17.5,17.47,17.5,31450
20140519,17.58,17.58,17.58,17.58,1290
20140520,17.54,17.54,17.54,17.54,570
20140521,17.46,17.46,17.45,17.45,6500
20140522,17.69,17.7,17.69,17.7,3868
20140523,17.68,17.68,17.68,17.68,1800
20140526,17.68,17.68,17.68,17.68,0
20140527,17.76,17.83,17.76,17.77,2446
20140528,17.89,17.89,17.89,17.89,550
20140529,17.85,17.85,17.85,17.85,750
20140530,17.84,17.88,17.84,17.88,5860
20140602,17.88,17.88,17.88,17.88,0
20140603,17.96,17.96,17.9,17.9,2926
20140604,18.02,18.02,18.01,18.01,1783
20140605,18,18,18,18,650
20140606,18.08,18.08,18.05,18.05,21906
20140610,18.16,18.16,18.1,18.1,7788
20140611,18.14,18.14,18.14,18.14,1322
20140612,18.14,18.14,18.14,18.14,5310
20140613,18.02,18.06,18.02,18.06,1410
20140616,18.05,18.06,18.03,18.03,1398
20140617,18.09,18.18,18.09,18.18,20100
20140618,18.27,18.27,18.27,18.27,685
20140619,18.31,18.31,18.31,18.31,500
20140620,18.38,18.38,18.33,18.33,2759
20140623,18.36,18.36,18.36,18.36,3540
20140624,18.32,18.32,18.25,18.3,9038
