Date,Open,High,Low,Close,Volume
20130319,15.08,15.08,15.08,15.08,1325
20130320,15,15,15,15,200
20130321,15.1,15.1,15.1,15.1,4300
20130322,14.94,14.97,14.94,14.97,3000
20130325,15.09,15.09,15,15,5367
20130326,14.97,14.99,14.97,14.98,9465
20130327,15.2,15.2,14.97,14.98,5295
20130328,14.98,15,14.98,15,9025
20130402,14.94,14.94,14.9,14.9,2433
20130403,15.03,15.03,15.02,15.02,3400
20130404,15.02,15.02,15.02,15.02,0
20130405,15.02,15.02,15.02,15.02,0
20130408,14.93,14.94,14.9,14.92,18073
20130409,14.98,14.98,14.98,14.98,55
20130410,14.88,14.89,14.88,14.89,3670
20130411,14.89,14.89,14.89,14.89,0
20130412,14.89,14.89,14.89,14.89,0
20130415,14.89,14.89,14.89,14.89,0
20130416,14.89,14.89,14.89,14.89,0
20130417,14.89,14.89,14.89,14.89,0
20130418,15.22,15.22,15.22,15.22,839
20130419,15.05,15.05,15.05,15.05,9980
20130422,15.05,15.05,15.05,15.05,0
20130423,15.27,15.27,15.25,15.25,3034
20130424,15.44,15.44,15.44,15.44,3900
20130426,15.51,15.51,15.49,15.49,9724
20130429,15.49,15.49,15.49,15.49,0
20130430,15.57,15.57,15.53,15.53,12360
20130501,15.53,15.53,15.53,15.53,0
20130502,15.53,15.53,15.53,15.53,0
20130503,15.53,15.53,15.53,15.53,0
20130506,15.72,15.73,15.71,15.71,4150
20130507,15.71,15.71,15.71,15.71,0
20130508,15.71,15.71,15.71,15.71,0
20130509,16.21,16.21,16.1,16.1,16830
20130510,16.27,16.28,16.27,16.28,5310
20130513,16.4,16.43,16.39,16.39,10661
20130514,16.59,16.59,16.51,16.51,7302
20130515,16.69,16.73,16.67,16.7,18620
20130516,16.82,16.84,16.82,16.84,1616
20130517,16.88,17,16.88,16.98,14998
20130520,17.08,17.08,17.02,17.03,8311
20130521,17.09,17.09,17.01,17.01,12696
20130522,17.1,17.11,17.1,17.11,600
20130523,17.25,17.26,17.21,17.21,19937
20130524,17.11,17.11,17.01,17.01,9179
20130527,17.13,17.16,17.13,17.16,418
20130528,17.15,17.15,17.12,17.13,7680
20130529,17.28,17.28,17.26,17.28,3798
20130530,17.2,17.2,17,17,25582
20130531,17.05,17.13,17.05,17.1,1757
20130603,16.91,16.93,16.91,16.93,3600
20130604,16.9,16.9,16.69,16.74,4429
20130605,16.88,16.9,16.87,16.89,4611
20130606,16.9,17.02,16.9,17.02,2500
20130607,17.1,17.1,16.93,17,1675
20130611,17.1,17.29,17.1,17.26,4272
20130612,17,17,17,17,585
20130613,16.97,16.97,16.96,16.96,470
20130614,16.91,16.91,16.84,16.84,8658
20130617,16.84,16.84,16.84,16.84,0
20130618,16.84,16.84,16.84,16.84,0
20130619,17.25,17.26,17.25,17.26,3530
20130620,17.4,17.49,17.4,17.49,696
20130621,17.25,17.25,17.05,17.13,8898
20130624,17.13,17.13,17.13,17.13,0
20130625,16.72,16.72,16.7,16.7,1697
20130626,16.79,16.8,16.79,16.8,2200
20130627,16.95,16.95,16.85,16.86,5273
20130628,17.11,17.13,17.11,17.11,1636
20130701,17.2,17.2,17.15,17.16,2312
20130702,17.16,17.16,17.16,17.16,0
20130703,17.16,17.16,17.16,17.16,0
20130704,17.47,17.47,17.45,17.45,730
20130705,17.57,17.57,17.53,17.53,1880
20130708,17.67,17.67,17.61,17.63,3748
20130709,17.61,17.67,17.6,17.64,5986
20130710,17.63,17.63,17.59,17.59,4382
20130711,17.83,17.84,17.83,17.84,2136
20130712,18.02,18.02,17.98,18,1830
20130715,18.02,18.24,18.02,18.18,13270
20130716,18,18.01,18,18.01,7696
20130717,17.82,17.85,17.8,17.85,6148
20130718,17.94,18.02,17.92,18.02,2392
20130719,18.1,18.1,18.1,18.1,9219
20130722,18.19,18.19,18.19,18.19,270
20130723,18.1,18.11,18.05,18.11,1722
20130724,18.11,18.11,18.11,18.11,0
20130725,18.3,18.31,18.29,18.29,14733
20130726,18.19,18.19,18.12,18.13,9233
20130729,18.1,18.1,18,18.03,7788
20130730,18.32,18.38,18.32,18.38,5582
20130731,18.35,18.43,18.35,18.41,6660
20130801,18.6,18.6,18.58,18.6,10345
20130802,18.78,18.86,18.78,18.86,20947
20130805,18.98,19.02,18.98,18.98,13658
20130806,18.89,18.89,18.75,18.76,17620
20130807,18.69,18.73,18.68,18.7,8448
20130808,18.6,18.6,18.47,18.47,6771
20130809,18.41,18.43,18.37,18.43,2230
20130812,18.3,18.3,18.13,18.14,15555
20130813,18.35,18.35,18.35,18.35,2200
20130814,18.47,18.47,18.42,18.44,32930
20130815,18.44,18.44,18.3,18.3,2273
20130816,18.14,18.14,18.06,18.06,34200
20130819,18.06,18.06,18,18,1830
20130820,18.19,18.2,18.19,18.2,900
20130821,18.23,18.24,18.23,18.24,21502
20130822,18.18,18.22,18.15,18.15,90959
20130823,18.34,18.35,18.34,18.35,80170
20130826,18.43,18.45,18.42,18.45,86134
20130827,18.46,18.48,18.42,18.44,6707
20130828,18.27,18.31,18.27,18.31,6085
20130829,18.25,18.25,18.23,18.23,2671
20130830,18.32,18.34,18.32,18.34,2698
20130902,18.27,18.29,18.24,18.24,37120
20130903,18.32,18.38,18.24,18.24,2050
20130904,18.2,18.2,18.07,18.12,2633
20130905,18.09,18.11,18.08,18.1,2606
20130906,18.15,18.22,18.15,18.22,3806
20130909,18.1,18.13,18.09,18.1,10919
20130910,18.19,18.19,18.1,18.1,10361
20130911,18.21,18.23,18.18,18.23,6050
20130912,18.24,18.37,18.24,18.37,9310
20130913,18.33,18.33,18.31,18.31,6278
20130916,18.45,18.46,18.44,18.45,24152
20130917,18.36,18.38,18.32,18.35,7955
20130918,18.36,18.36,18.35,18.36,23540
20130919,18.35,18.35,18.29,18.33,41082
20130920,18.33,18.34,18.28,18.28,5885
20130923,18.39,18.39,18.39,18.39,2016
20130924,18.29,18.29,18.25,18.26,5598
20130925,18.29,18.35,18.29,18.35,669
20130926,18.3,18.35,18.3,18.35,876
20130927,18.47,18.47,18.43,18.43,7990
20130930,18.4,18.4,18.32,18.38,9769
20131001,18.38,18.38,18.21,18.21,7787
20131002,18.3,18.3,18.27,18.28,2438
20131003,18.16,18.22,18.16,18.22,4599
20131004,18.18,18.18,18.02,18.02,2919
20131007,18.13,18.13,18.13,18.13,560
20131008,18.13,18.13,17.91,17.94,3281
20131009,17.88,17.9,17.83,17.9,2093
20131010,17.5,17.5,17.5,17.5,100
20131011,18.17,18.17,18.12,18.15,4524
20131014,18.2,18.2,18.18,18.18,2687
20131015,18.23,18.27,18.2,18.2,31161
20131016,18.19,18.25,18.19,18.21,35276
20131017,18.31,18.32,18.3,18.3,14942
20131018,18.32,18.36,18.32,18.35,33240
20131021,18.33,18.33,18.27,18.31,16374
20131022,18.33,18.35,18.27,18.35,32681
20131023,18.43,18.49,18.3,18.47,21495
20131024,18.46,18.46,18.45,18.46,9452
20131025,18.58,18.58,18.55,18.56,1663
20131028,18.64,18.64,18.64,18.64,1500
20131029,18.72,18.77,18.7,18.76,4967
20131030,18.82,18.85,18.77,18.77,6032
20131031,18.83,18.83,18.73,18.79,19360
20131101,18.8,18.83,18.79,18.79,11080
20131104,18.78,18.78,18.68,18.75,5580
20131105,18.71,18.78,18.67,18.78,3666
20131106,18.7,18.76,18.69,18.76,49596
20131107,18.68,18.8,18.68,18.8,5317
20131108,18.67,18.7,18.64,18.66,13567
20131111,18.91,19.02,18.91,18.97,125517
20131112,19.09,19.1,19.09,19.1,13460
20131113,19.08,19.08,19.05,19.05,2900
20131114,19.11,19.19,19.11,19.19,2850
20131115,19.25,19.26,19.24,19.26,8980
20131118,19.23,19.25,19.23,19.23,6510
20131119,19.3,19.33,19.29,19.3,53428
20131120,19.15,19.15,19.1,19.1,4868
20131121,19.26,19.26,19.18,19.18,1774
20131122,19.3,19.56,19.3,19.56,1625
20131125,19.75,19.8,19.74,19.79,4718
20131126,20.05,20.05,19.72,19.74,9300
20131127,19.76,19.81,19.76,19.81,4808
20131128,19.95,19.95,19.83,19.87,1241
20131129,20.02,20.06,20,20.03,4126
20131202,19.9,19.9,19.83,19.83,8095
20131203,19.8,19.82,19.8,19.82,4440
20131204,19.75,19.8,19.62,19.75,8692
20131205,19.86,19.86,19.75,19.82,4015
20131206,19.75,19.78,19.75,19.78,269
20131209,19.81,19.81,19.77,19.77,3952
