Date,Open,High,Low,Close,Volume
20230120,8.64,8.64,8.64,8.64,550
20230123,8.64,8.64,8.64,8.64,0
20230124,8.64,8.64,8.64,8.64,0
20230125,8.64,8.64,8.64,8.64,0
20230127,8.64,8.64,8.64,8.64,0
20230130,8.64,8.64,8.64,8.64,0
20230131,8.64,8.64,8.64,8.64,0
20230201,8.64,8.64,8.64,8.64,2
20230202,8.64,8.64,8.64,8.64,0
20230203,8.64,8.64,8.64,8.64,0
20230206,8.9,8.9,8.9,8.9,600
20230207,8.9,8.9,8.9,8.9,1
20230208,8.91,8.93,8.91,8.93,4600
20230209,8.89,8.89,8.89,8.89,10
20230210,8.89,8.89,8.89,8.89,0
20230213,8.83,8.83,8.83,8.83,3946
20230214,8.87,8.87,8.87,8.87,3341
20230215,8.9,8.9,8.9,8.9,2500
20230216,8.9,8.9,8.9,8.9,0
20230217,8.9,8.9,8.9,8.9,0
20230220,8.9,8.9,8.9,8.9,0
20230221,8.9,8.9,8.9,8.9,0
20230222,8.82,8.82,8.82,8.82,2500
20230223,8.82,8.82,8.82,8.82,2500
20230224,8.84,8.84,8.83,8.83,4799
20230227,8.83,8.83,8.83,8.83,0
20230228,8.83,8.83,8.83,8.83,0
20230301,8.84,8.84,8.84,8.84,60
20230302,8.77,8.77,8.76,8.76,3000
20230303,8.76,8.76,8.76,8.76,0
20230306,8.76,8.76,8.76,8.76,0
20230307,8.76,8.76,8.76,8.76,0
20230308,8.76,8.76,8.76,8.76,0
20230309,9.07,9.07,9.06,9.06,1001
20230310,9.08,9.08,8.87,8.87,6906
20230313,8.79,8.88,8.79,8.88,29
20230314,8.74,8.78,8.74,8.78,14548
20230315,8.84,8.84,8.84,8.84,3000
20230316,8.84,8.84,8.84,8.84,0
20230317,8.91,8.91,8.91,8.91,2800
20230320,8.7,8.76,8.7,8.76,8511
20230321,8.76,8.76,8.76,8.76,0
20230322,8.76,8.76,8.76,8.76,0
20230323,8.76,8.76,8.76,8.76,3200
20230324,8.76,8.76,8.76,8.76,0
20230327,8.76,8.76,8.76,8.76,0
20230328,8.76,8.76,8.76,8.76,0
20230329,8.76,8.76,8.76,8.76,0
20230330,8.76,8.76,8.76,8.76,0
20230331,9.13,9.14,9.13,9.14,233
20230403,9.18,9.18,9.18,9.18,2741
20230404,9.15,9.15,9.15,9.15,21800
20230405,9.11,9.11,9.11,9.11,905
20230406,9.06,9.1,9.06,9.1,31745
20230411,9.13,9.13,9.13,9.13,9100
20230412,9.28,9.28,9.28,9.28,540
20230413,9.28,9.28,9.28,9.28,0
20230414,9.28,9.28,9.28,9.28,0
20230417,9.25,9.32,9.25,9.32,11200
20230418,9.3,9.3,9.21,9.21,17
20230419,9.31,9.31,9.31,9.31,2653
20230420,9.3,9.3,9.3,9.3,576
20230421,9.3,9.3,9.3,9.3,0
20230424,9.3,9.3,9.3,9.3,0
20230426,9.3,9.3,9.3,9.3,0
20230427,9.3,9.3,9.3,9.3,0
20230428,9.22,9.22,9.22,9.22,12987
20230501,9.31,9.31,9.31,9.31,6
20230502,9.35,9.35,9.35,9.35,500
20230503,9.28,9.28,9.28,9.28,5377
20230504,9.2,9.2,9.2,9.2,5423
20230505,9.09,9.09,9.09,9.09,4500
20230508,9.13,9.13,9.13,9.13,3279
20230509,9.13,9.13,9.13,9.13,0
20230510,9.13,9.13,9.13,9.13,0
20230511,9.13,9.13,9.13,9.13,0
20230512,9.18,9.18,9.18,9.18,79
20230515,9.3,9.3,9.29,9.29,3740
20230516,9.29,9.29,9.29,9.29,0
20230517,9.3,9.3,9.3,9.3,642
20230518,9.3,9.3,9.3,9.3,0
20230519,9.47,9.47,9.47,9.47,21073
20230522,9.47,9.47,9.47,9.47,0
20230523,9.43,9.43,9.42,9.42,5831
20230524,9.29,9.29,9.29,9.29,20756
20230525,9.32,9.32,9.31,9.31,4290
20230526,9.31,9.31,9.31,9.31,0
20230529,9.31,9.31,9.31,9.31,0
20230530,9.48,9.48,9.48,9.48,14736
20230531,9.45,9.45,9.45,9.45,23186
20230601,9.42,9.42,9.42,9.42,850
20230602,9.4,9.4,9.37,9.37,5367
20230605,9.49,9.49,9.49,9.49,500
20230606,9.49,9.49,9.49,9.49,0
20230607,9.34,9.35,9.34,9.34,6644
20230608,9.26,9.26,9.25,9.25,18841
20230609,9.26,9.26,9.26,9.26,2160
20230613,9.29,9.29,9.29,9.29,2152
20230614,9.33,9.33,9.33,9.33,3210
20230615,9.33,9.33,9.3,9.3,14730
20230616,9.24,9.33,9.24,9.31,14324
20230619,9.34,9.34,9.34,9.34,2137
20230620,9.31,9.35,9.31,9.35,2695
20230621,9.35,9.35,9.34,9.34,23315
20230622,9.28,9.29,9.28,9.29,1873
20230623,9.39,9.39,9.39,9.39,4228
20230626,9.39,9.39,9.39,9.39,0
20230627,9.33,9.33,9.33,9.33,2135
20230628,9.48,9.48,9.48,9.48,1580
20230629,9.48,9.48,9.48,9.48,0
20230630,9.48,9.48,9.48,9.48,0
20230703,9.5,9.5,9.46,9.46,13662
20230704,9.46,9.46,9.46,9.46,0
20230705,9.46,9.46,9.46,9.46,0
20230706,9.4,9.4,9.31,9.31,5586
20230707,9.31,9.31,9.31,9.31,0
20230710,9.23,9.23,9.23,9.23,3784
20230711,9.3,9.3,9.3,9.3,9888
20230712,9.3,9.3,9.3,9.3,0
20230713,9.29,9.29,9.29,9.29,2108
20230714,9.28,9.29,9.28,9.29,2796
20230717,9.29,9.29,9.29,9.29,0
20230718,9.29,9.29,9.29,9.29,0
20230719,9.51,9.51,9.5,9.5,1680
20230720,9.45,9.45,9.39,9.39,12507
20230721,9.39,9.39,9.39,9.39,0
20230724,9.53,9.53,9.53,9.53,525
20230725,9.53,9.53,9.53,9.53,0
20230726,9.53,9.53,9.53,9.53,0
20230727,9.53,9.53,9.53,9.53,0
20230728,9.66,9.66,9.66,9.66,2853
20230731,9.7,9.7,9.68,9.68,13064
20230801,9.72,9.72,9.64,9.64,2416
20230802,9.72,9.72,9.72,9.72,17
20230803,9.66,9.66,9.66,9.66,250
20230804,9.63,9.63,9.63,9.63,1000
20230807,9.56,9.56,9.56,9.56,3
20230808,9.61,9.61,9.61,9.61,1700
20230809,9.62,9.62,9.58,9.62,5189
20230810,9.58,9.58,9.58,9.58,5208
20230811,9.56,9.59,9.56,9.59,7513
20230814,9.55,9.6,9.55,9.6,7776
20230815,9.64,9.64,9.64,9.64,5161
20230816,9.64,9.64,9.64,9.64,0
20230817,9.56,9.6,9.55,9.6,4928
20230818,9.45,9.45,9.44,9.44,1104
20230821,9.39,9.41,9.35,9.35,12200
20230822,9.44,9.45,9.44,9.45,3385
20230823,9.45,9.45,9.45,9.45,0
20230824,9.54,9.56,9.5,9.5,6517
20230825,9.44,9.45,9.44,9.45,3174
20230828,9.51,9.51,9.51,9.51,5042
20230829,9.52,9.56,9.52,9.56,10253
20230830,9.71,9.71,9.64,9.64,10169
20230831,9.65,9.65,9.65,9.65,1000
20230901,9.64,9.64,9.64,9.64,103
20230904,9.64,9.7,9.64,9.7,6
20230905,9.7,9.7,9.7,9.7,0
20230906,9.7,9.7,9.69,9.69,4313
20230907,9.74,9.74,9.74,9.74,2
