Date,Open,High,Low,Close,Volume
20181210,25.03,25.03,25.02,25.02,19618
20181211,25.06,25.06,25.06,25.06,796
20181212,25.06,25.06,25.06,25.06,0
20181213,25.05,25.05,25.03,25.03,9100
20181214,25.04,25.04,25.04,25.04,20
20181217,25.05,25.05,25.05,25.05,1000
20181218,25.05,25.05,25.05,25.05,0
20181219,25.05,25.05,25.05,25.05,0
20181220,25.05,25.05,25.05,25.05,0
20181221,25.05,25.05,25.05,25.05,0
20181224,25.05,25.05,25.05,25.05,0
20181227,25.05,25.05,25.05,25.05,0
20181228,25.05,25.05,25.05,25.05,0
20181231,25.05,25.05,25.05,25.05,0
20190102,25.05,25.05,25.05,25.05,0
20190103,25.05,25.05,25.05,25.05,0
20190104,25.05,25.05,25.05,25.05,0
20190107,25.05,25.05,25.05,25.05,0
20190108,25.05,25.05,25.05,25.05,0
20190109,25.05,25.05,25.05,25.05,0
20190110,25.2,25.2,25.2,25.2,500
20190111,25.2,25.2,25.2,25.2,0
20190114,25.2,25.2,25.2,25.2,0
20190115,25.2,25.2,25.2,25.2,0
20190116,25.2,25.2,25.2,25.2,0
20190117,25.2,25.2,25.2,25.2,0
20190118,25.2,25.2,25.2,25.2,0
20190121,25.2,25.2,25.2,25.2,0
20190122,25.2,25.2,25.2,25.2,0
20190123,25.2,25.2,25.2,25.2,0
20190124,25.2,25.2,25.2,25.2,0
20190125,25.2,25.2,25.2,25.2,0
20190129,25.2,25.2,25.2,25.2,0
20190130,25.2,25.2,25.2,25.2,0
20190131,25.2,25.2,25.2,25.2,0
20190201,25.28,25.28,25.28,25.28,394
20190204,25.28,25.28,25.28,25.28,0
20190205,25.28,25.28,25.28,25.28,0
20190206,25.28,25.28,25.28,25.28,0
20190207,25.37,25.37,25.37,25.37,1000
20190208,25.36,25.36,25.36,25.36,4050
20190211,25.36,25.36,25.36,25.36,0
20190212,25.36,25.36,25.36,25.36,0
20190213,25.36,25.36,25.36,25.36,0
20190214,25.36,25.36,25.36,25.36,0
20190215,25.36,25.36,25.36,25.36,0
20190218,25.36,25.36,25.36,25.36,0
20190219,25.36,25.36,25.36,25.36,0
20190220,25.41,25.41,25.41,25.41,1200
20190221,25.4,25.41,25.4,25.41,3650
20190222,25.41,25.41,25.41,25.41,395
20190225,25.42,25.42,25.42,25.42,4929
20190226,25.45,25.45,25.45,25.45,52750
20190227,25.47,25.47,25.47,25.47,5050
20190228,25.47,25.47,25.45,25.45,1538
20190301,25.45,25.45,25.45,25.45,0
20190304,25.45,25.45,25.45,25.45,0
20190305,25.45,25.45,25.45,25.45,0
20190306,25.45,25.45,25.45,25.45,0
20190307,25.47,25.47,25.47,25.47,3808
20190308,25.47,25.47,25.47,25.47,0
20190311,25.42,25.42,25.42,25.42,4750
20190312,25.42,25.42,25.42,25.42,0
20190313,25.48,25.48,25.3,25.3,2089
20190314,25.3,25.3,25.3,25.3,0
20190315,25.49,25.49,25.49,25.49,3355
20190318,25.49,25.49,25.48,25.48,12167
20190319,25.48,25.48,25.48,25.48,0
20190320,25.48,25.48,25.48,25.48,0
20190321,25.48,25.48,25.48,25.48,0
20190322,25.59,25.59,25.59,25.59,2330
20190325,25.59,25.59,25.59,25.59,0
20190326,25.87,25.87,25.87,25.87,9630
20190327,25.87,25.87,25.87,25.87,0
20190328,25.54,25.54,25.54,25.54,1182
20190329,25.54,25.54,25.54,25.54,0
20190401,25.59,25.61,25.59,25.61,2950
20190402,25.56,25.56,25.53,25.53,5055
20190403,25.52,25.55,25.52,25.55,1285
20190404,25.55,25.55,25.52,25.52,1493
20190405,25.52,25.52,25.52,25.52,0
20190408,25.57,25.57,25.55,25.55,23200
20190409,25.55,25.55,25.55,25.55,0
20190410,25.61,25.61,25.61,25.61,1000
20190411,25.57,25.59,25.56,25.56,2600
20190412,25.56,25.57,25.56,25.57,18535
20190415,25.61,25.61,25.61,25.61,4000
20190416,25.61,25.61,25.61,25.61,3705
20190417,25.59,25.6,25.59,25.6,7140
