Date,Open,High,Low,Close,Volume
20230320,5.33,5.33,5.33,5.33,946
20230321,5.33,5.33,5.33,5.33,0
20230322,5.46,5.46,5.41,5.41,11
20230323,5.41,5.41,5.41,5.41,0
20230324,5.41,5.41,5.41,5.41,0
20230327,5.41,5.41,5.41,5.41,0
20230328,5.41,5.41,5.41,5.41,0
20230329,5.4,5.4,5.4,5.4,116
20230330,5.4,5.4,5.4,5.4,0
20230331,5.4,5.4,5.4,5.4,0
20230403,5.4,5.4,5.4,5.4,0
20230404,5.4,5.4,5.4,5.4,0
20230405,5.4,5.4,5.4,5.4,0
20230406,5.4,5.4,5.4,5.4,0
20230411,5.4,5.4,5.4,5.4,0
20230412,5.4,5.4,5.4,5.4,0
20230413,5.4,5.4,5.4,5.4,0
20230414,5.4,5.4,5.4,5.4,0
20230417,5.4,5.4,5.4,5.4,0
20230418,5.4,5.4,5.4,5.4,0
20230419,5.4,5.4,5.4,5.4,0
20230420,5.4,5.4,5.4,5.4,0
20230421,5.4,5.4,5.4,5.4,0
20230424,5.4,5.4,5.4,5.4,0
20230426,5.52,5.52,5.52,5.52,925
20230427,5.5,5.5,5.5,5.5,410
20230428,5.5,5.5,5.5,5.5,0
20230501,5.5,5.5,5.5,5.5,0
20230502,5.5,5.5,5.5,5.5,0
20230503,5.5,5.5,5.5,5.5,0
20230504,5.5,5.5,5.5,5.5,0
20230505,5.5,5.5,5.5,5.5,0
20230508,5.46,5.46,5.46,5.46,7500
20230509,5.46,5.46,5.46,5.46,0
20230510,5.46,5.46,5.46,5.46,0
20230511,5.45,5.45,5.45,5.45,116
20230512,5.45,5.45,5.45,5.45,0
20230515,5.45,5.45,5.45,5.45,0
20230516,5.45,5.45,5.45,5.45,0
20230517,5.45,5.45,5.45,5.45,0
20230518,5.45,5.45,5.45,5.45,0
20230519,5.45,5.45,5.45,5.45,0
20230522,5.45,5.45,5.45,5.45,0
20230523,5.45,5.45,5.45,5.45,0
20230524,5.45,5.45,5.45,5.45,0
20230525,5.45,5.45,5.45,5.45,0
20230526,5.45,5.45,5.45,5.45,0
20230529,5.45,5.45,5.45,5.45,0
20230530,5.45,5.45,5.45,5.45,0
20230531,5.45,5.45,5.45,5.45,0
20230601,5.45,5.45,5.45,5.45,0
20230602,5.45,5.45,5.45,5.45,0
20230605,5.45,5.45,5.45,5.45,0
20230606,5.45,5.45,5.45,5.45,0
20230607,5.45,5.45,5.45,5.45,0
20230608,5.45,5.45,5.45,5.45,0
20230609,5.45,5.45,5.45,5.45,0
20230613,5.45,5.45,5.45,5.45,0
20230614,5.45,5.45,5.45,5.45,0
20230615,5.45,5.45,5.45,5.45,0
20230616,5.45,5.45,5.45,5.45,0
20230619,5.45,5.45,5.45,5.45,0
20230620,5.45,5.45,5.45,5.45,0
20230621,5.45,5.45,5.45,5.45,0
20230622,5.45,5.45,5.45,5.45,0
20230623,5.45,5.45,5.45,5.45,0
20230626,5.45,5.45,5.45,5.45,0
20230627,5.45,5.45,5.45,5.45,0
20230628,5.45,5.45,5.45,5.45,0
20230629,5.45,5.45,5.45,5.45,0
20230630,5.45,5.45,5.45,5.45,0
20230703,5.45,5.45,5.45,5.45,0
20230704,5.45,5.45,5.45,5.45,0
20230705,5.45,5.45,5.45,5.45,0
20230706,5.7,5.7,5.7,5.7,4
20230707,5.7,5.7,5.7,5.7,0
20230710,5.7,5.7,5.7,5.7,0
20230711,5.7,5.7,5.7,5.7,882
20230712,5.7,5.7,5.7,5.7,0
