Date,Open,High,Low,Close,Volume
20221013,19.63,19.64,19.6,19.64,5272
20221014,20.27,20.27,20.07,20.1,2856
20221017,20.22,20.22,20.05,20.08,2672
20221018,19.98,19.98,19.71,19.71,982
20221019,19.76,19.76,19.65,19.65,239
20221020,19.61,19.61,19.5,19.5,462
20221021,19.52,19.52,19.52,19.52,68
20221024,19.77,19.8,19.68,19.8,488
20221025,20.53,20.62,20.53,20.62,1104
20221026,21.28,21.28,21.25,21.25,719
20221027,20.79,20.79,20.64,20.64,477
20221028,21.53,21.56,21.46,21.49,10565
20221031,22.23,22.23,22.17,22.17,683
20221101,22.17,22.17,21.9,21.9,1367
20221102,21.51,21.51,21.3,21.42,1658
20221103,21.3,21.3,21.1,21.19,1880
20221104,21.16,21.16,21,21,972
20221107,21.54,21.55,20.84,20.84,32326
20221108,20.91,20.91,20.86,20.88,301
20221109,20.8,20.8,20.48,20.52,17290
20221110,20.6,20.6,20.05,20.08,3878
20221111,20.01,20.01,19.86,19.86,29897
20221114,19.86,19.86,19.86,19.86,0
20221115,20.12,20.12,19.78,19.85,5833
20221116,20.01,20.01,19.98,19.98,51
20221117,19.8,19.8,19.56,19.57,156
20221118,19.62,19.62,19.42,19.42,3450
20221121,19.33,19.46,19.33,19.44,378
20221122,19.67,19.77,19.67,19.77,507
20221123,19.69,19.69,19.69,19.69,141
20221124,19.77,19.77,19.75,19.75,29
20221125,20.3,20.31,20.2,20.21,5094
20221128,20.3,20.44,20.3,20.39,1098
20221129,20.26,20.26,20,20,1294
20221130,20.81,20.81,20.55,20.55,352
20221201,20.9,20.99,20.9,20.99,599
20221202,21.35,21.35,21.35,21.35,357
20221205,21.35,21.35,21.35,21.35,0
20221206,22.15,22.15,22.14,22.14,572
20221207,22.35,22.41,22.33,22.33,397
20221208,22.54,22.54,22.16,22.25,294
20221209,22.19,22.19,22,22,3388
20221212,22,22,21.83,21.91,1148
20221213,22.2,22.33,22.2,22.33,719
20221214,21.99,22.03,21.99,22.03,3100
20221215,21.78,21.78,21.5,21.57,138
20221216,21.77,21.77,21.77,21.77,1
20221219,21.47,21.47,21.44,21.44,2237
20221220,21.48,21.62,21.4,21.62,1384
20221221,21.74,21.92,21.74,21.92,139
20221222,21.7,21.7,21.51,21.51,123
20221223,21.97,21.97,21.92,21.92,70
20221228,21.92,21.92,21.53,21.65,5590
20221229,21.49,21.49,21.03,21.11,1141
20221230,21.05,21.05,21.03,21.03,2
20230103,20.52,20.99,20.31,20.31,18334
20230104,20.31,20.31,20.31,20.31,0
20230105,20,20,19.26,19.45,6662
20230106,19.54,19.69,19.54,19.64,427
20230109,19.45,19.45,19.08,19.09,7555
20230110,19.9,19.9,19.82,19.87,298
20230111,19.89,19.92,19.86,19.86,603
20230112,19.84,19.84,19.57,19.57,100
20230113,19.6,19.71,19.6,19.6,2541
20230116,19.8,19.8,19.5,19.54,585
20230117,19.39,19.39,19.19,19.19,205
20230118,19.19,19.19,19.19,19.19,0
20230119,19.58,20.43,19.58,20.43,1402
20230120,20.62,20.62,20.48,20.53,2148
20230123,20.54,20.54,20.39,20.4,1433
20230124,20.18,20.23,20.13,20.13,1565
20230125,19.98,19.98,19.45,19.45,918
20230127,20.15,21.06,20.15,20.57,14176
20230130,20.57,20.74,20.57,20.72,3913
20230131,20.9,20.9,20.9,20.9,2
20230201,21.71,21.71,21.66,21.66,247
20230202,21.93,21.98,21.92,21.98,2407
20230203,21.76,21.81,21.76,21.81,91
20230206,22.31,22.31,22.21,22.21,3941
20230207,21.85,21.85,21.85,21.85,466
20230208,21.54,21.59,21.54,21.58,176
20230209,21.5,21.5,21.36,21.36,5755
20230210,21.73,21.73,21.73,21.73,2100
20230213,22.01,22.1,22.01,22.1,712
20230214,22.1,22.1,21.73,21.73,435
20230215,21.61,21.62,21.61,21.62,160
20230216,21.97,21.97,21.97,21.97,450
