Date,Open,High,Low,Close,Volume
20230928,49.87,49.87,49.85,49.87,261
20230929,49.87,49.87,49.87,49.87,4020
20231002,49.53,49.53,49.53,49.53,39
20231003,49.31,49.37,49.19,49.37,122520
20231004,49.37,49.37,49.37,49.37,90000
20231005,49.37,49.37,49.37,49.37,10000
20231006,49.37,49.37,49.37,49.37,0
20231009,49.4,49.4,49.4,49.4,200
20231010,49.69,49.69,49.69,49.69,20
20231011,49.78,49.78,49.78,49.78,125
20231012,50.14,50.14,50.14,50.14,209
20231013,50.14,50.14,50.14,50.14,0
20231016,50.14,50.14,50.14,50.14,0
20231017,50.14,50.14,50.14,50.14,0
20231018,48.97,48.97,48.97,48.97,301
20231019,48.41,48.41,48.36,48.36,1370
20231020,48.34,48.36,48.33,48.36,139184
20231023,48.36,48.36,48.36,48.36,22000
20231024,48.64,48.69,48.63,48.63,13764
20231025,48.64,48.64,48.48,48.48,3827
20231026,48.01,48.01,48.01,48.01,500
20231027,48.01,48.01,48.01,48.01,0
20231030,47.99,47.99,47.83,47.83,426
20231031,47.83,47.83,47.83,47.83,0
20231101,47.02,47.19,47.02,47.19,27001
20231102,48,48.09,48,48.09,490
20231103,48.4,48.4,48.4,48.4,190
20231106,48.6,48.6,48.57,48.57,185
20231107,48.25,48.64,48.25,48.64,637
20231108,49.17,49.17,49.15,49.15,323
20231109,49.5,49.5,49.42,49.42,572
20231110,49.03,49.03,49,49,2081
20231113,49,49,49,49,21
20231114,48.85,48.85,48.84,48.84,1011
20231115,48.84,48.84,48.84,48.84,0
20231116,49.45,49.45,49.45,49.45,550
20231117,49.9,49.9,49.87,49.87,1114
20231120,49.76,49.81,49.63,49.63,3163
20231121,49.83,49.85,49.83,49.85,201
20231122,50.03,50.03,50.03,50.03,76
20231123,49.88,49.88,49.85,49.85,412
20231124,49.66,49.66,49.5,49.57,1363
20231127,49.52,49.52,49.38,49.44,878
20231128,49.77,49.77,49.77,49.77,93
20231129,50.34,50.34,50.34,50.34,1062
20231130,50.53,50.53,50.5,50.5,520
20231201,49.86,49.86,49.75,49.75,2477
20231204,49.96,49.96,49.83,49.83,339
20231205,49.83,49.83,49.83,49.83,0
20231206,50.78,50.79,50.61,50.61,3822
20231207,51.12,51.12,50.87,50.87,318
20231208,50.82,50.82,50.7,50.7,22
20231211,50.57,50.66,50.57,50.58,6004
20231212,50.74,50.74,50.69,50.7,370
20231213,50.9,50.9,50.9,50.9,103
20231214,51.58,51.8,51.58,51.65,4133
20231215,51.74,51.74,51.6,51.64,5779
20231218,51.98,51.98,51.98,51.98,900
20231219,51.88,51.88,51.8,51.8,769
20231220,52.01,52.01,51.96,51.99,4956
20231221,51.98,52.34,51.97,52.34,68274
20231222,52.15,52.15,52.15,52.15,447
20231227,52.5,52.5,52.36,52.36,5227
20231228,52.84,52.84,52.84,52.84,200
20231229,52.84,52.84,52.84,52.84,0
20240102,52.86,52.86,52.36,52.36,1001
20240103,52.36,52.36,52.1,52.1,4
20240104,52.31,52.31,52.31,52.31,300
20240105,52.1,52.1,51.81,51.84,1055
20240108,51.6,51.6,51.5,51.5,2906
20240109,51.7,51.74,51.7,51.74,782
20240110,51.82,51.82,51.65,51.65,2580
20240111,51.65,51.65,51.56,51.56,979
20240112,51.87,51.87,51.87,51.87,589
