Date,Open,High,Low,Close,Volume
20170124,14.41,14.41,14.41,14.41,125
20170125,14.43,14.65,14.43,14.65,1580
20170127,14.71,14.71,14.67,14.67,1970
20170130,14.6,14.61,14.58,14.59,2566
20170131,14.55,14.55,14.55,14.55,1000
20170201,14.48,14.48,14.48,14.48,16
20170202,14.31,14.31,14.18,14.22,11942
20170203,14.1,14.21,14.1,14.17,13912
20170206,14.07,14.07,14.06,14.06,4015
20170207,14.17,14.17,14.1,14.1,225
20170208,14.3,14.3,14.23,14.23,18289
20170209,14.4,14.4,14.22,14.22,1600
20170210,14.35,14.35,14.18,14.18,6288
20170213,14.07,14.09,14.05,14.09,8010
20170214,14.1,14.1,14.1,14.1,530
20170215,14.03,14.03,14.03,14.03,1400
20170216,13.89,13.89,13.81,13.89,7909
20170217,13.89,13.89,13.89,13.89,1900
20170220,14.03,14.03,14.03,14.03,350
20170221,14,14.08,14,14.08,4360
20170222,14.04,14.04,13.96,13.96,4325
20170223,13.93,13.93,13.93,13.93,3500
20170224,13.86,13.91,13.86,13.91,1970
20170227,14.05,14.05,13.95,13.95,3950
20170228,14.04,14.04,14.04,14.04,1800
20170301,14.1,14.14,14.1,14.14,2149
20170302,14,14.11,14,14.11,6435
20170303,14.49,14.56,14.49,14.56,13335
20170306,14.37,14.39,14.37,14.39,380
20170307,14.42,14.42,14.24,14.24,9626
20170308,14.36,14.36,14.36,14.36,1000
20170309,14.66,14.77,14.66,14.77,2000
20170310,14.71,14.71,14.71,14.71,677
20170313,14.6,14.6,14.49,14.51,6085
20170314,14.51,14.51,14.51,14.51,0
20170315,14.54,14.54,14.5,14.5,25857
20170316,13.89,13.97,13.87,13.94,16390
20170317,14.04,14.04,13.98,13.98,7830
20170320,13.87,13.87,13.79,13.8,5759
20170321,13.78,13.79,13.76,13.79,5100
20170322,14.01,14.07,14.01,14.04,22600
20170323,14.04,14.09,14.04,14.08,11184
20170324,14.18,14.27,14.18,14.27,8000
20170327,14.21,14.21,14.21,14.21,699
20170328,14.21,14.25,14.2,14.25,3314
20170329,14.19,14.19,14.19,14.19,10000
20170330,14,14,14,14,680
20170331,14.11,14.14,14.11,14.14,9710
20170403,14.18,14.18,14.18,14.18,2000
20170404,14.38,14.38,14.3,14.34,9300
20170405,14.34,14.34,14.34,14.34,0
20170406,14.45,14.6,14.45,14.6,4625
