Date,Open,High,Low,Close,Volume
20121126,10.15,10.15,10.14,10.15,9500
20121127,10.23,10.23,10.19,10.2,44103
20121128,10.21,10.21,10.18,10.21,10150
20121129,10.22,10.3,10.22,10.3,30380
20121130,10.34,10.34,10.31,10.32,15600
20121203,10.34,10.36,10.34,10.35,16600
20121204,10.34,10.35,10.3,10.3,55222
20121205,10.37,10.37,10.31,10.34,51522
20121206,10.36,10.36,10.33,10.35,27632
20121207,10.37,10.41,10.37,10.41,41865
20121210,10.42,10.43,10.39,10.4,54846
20121211,10.42,10.43,10.42,10.42,44056
20121212,10.46,10.47,10.43,10.43,54548
20121213,10.46,10.46,10.41,10.43,91796
20121214,10.44,10.45,10.41,10.44,12999
20121217,10.44,10.44,10.4,10.41,30206
20121218,10.46,10.47,10.45,10.45,57124
20121219,10.48,10.51,10.46,10.47,61653
20121220,10.46,10.49,10.44,10.49,18446
20121221,10.58,10.58,10.48,10.49,33521
20121224,10.52,10.54,10.52,10.54,2420
20121227,10.52,10.55,10.52,10.55,6835
20121228,10.61,10.61,10.59,10.59,1900
20121231,10.54,10.54,10.54,10.54,525
20130102,10.57,10.62,10.57,10.62,18915
20130103,10.65,10.68,10.65,10.68,10555
20130104,10.66,10.67,10.66,10.67,8833
20130107,10.7,10.7,10.65,10.66,51926
20130108,10.68,10.68,10.63,10.63,26665
20130109,10.63,10.64,10.63,10.63,25797
20130110,10.64,10.66,10.63,10.65,45459
20130111,10.68,10.68,10.63,10.64,25457
20130114,10.65,10.65,10.64,10.64,27995
20130115,10.67,10.67,10.63,10.63,56033
20130116,10.65,10.67,10.65,10.66,20329
20130117,10.67,10.74,10.67,10.72,21994
20130118,10.75,10.75,10.72,10.74,41898
20130121,10.74,10.74,10.71,10.74,31582
20130122,10.8,10.8,10.74,10.74,57750
20130123,10.79,10.81,10.79,10.81,18490
20130124,10.8,10.84,10.78,10.83,43228
20130125,10.86,10.87,10.85,10.87,46828
20130129,10.92,10.99,10.92,10.95,45761
20130130,10.98,11.01,10.98,11.01,36814
20130131,10.99,10.99,10.94,10.94,31042
20130201,11,11.03,11,11.03,94717
20130204,11.05,11.05,11.01,11.02,23680
20130205,10.99,10.99,10.94,10.99,14530
20130206,11.02,11.04,11.02,11.04,42968
20130207,11.07,11.08,11.02,11.07,38604
20130208,11.07,11.12,11.06,11.12,28382
20130211,11.11,11.13,11.1,11.11,42541
20130212,11.15,11.15,11.09,11.1,21763
20130213,11.15,11.18,11.15,11.17,27350
20130214,11.16,11.25,11.16,11.25,13583
20130215,11.22,11.25,11.22,11.23,38326
20130218,11.29,11.35,11.29,11.34,31817
20130219,11.28,11.35,11.25,11.35,25036
20130220,11.39,11.39,11.37,11.38,28617
20130221,11.34,11.34,11.13,11.16,36125
20130222,11.19,11.28,11.17,11.17,87713
20130225,11.23,11.28,11.22,11.27,53194
20130226,11.23,11.23,11.13,11.13,33843
20130227,11.23,11.24,11.2,11.23,25960
20130228,11.33,11.36,11.32,11.36,25100
20130301,11.33,11.35,11.3,11.35,31844
20130304,11.36,11.37,11.24,11.24,43365
20130305,11.35,11.39,11.35,11.36,24201
20130306,11.45,11.46,11.43,11.43,473955
20130307,11.45,11.45,11.38,11.41,39656
20130308,11.46,11.46,11.4,11.45,39071
20130311,11.43,11.46,11.39,11.45,16185
20130312,11.5,11.5,11.44,11.44,29941
20130313,11.45,11.45,11.38,11.38,16242
20130314,11.35,11.37,11.26,11.27,50703
20130315,11.35,11.39,11.35,11.39,14685
20130318,11.26,11.32,11.23,11.24,46512
20130319,11.27,11.32,11.18,11.18,32907
20130320,11.07,11.17,11.07,11.12,27684
20130321,11.19,11.19,11.14,11.15,28263
20130322,11.15,11.19,11.11,11.18,52635
20130325,11.2,11.25,11.2,11.22,38449
20130326,11.08,11.15,11.08,11.13,21901
20130327,11.15,11.2,11.13,11.19,10990
20130328,11.16,11.19,11.16,11.18,67586
20130402,11.09,11.1,11.04,11.09,35156
20130403,11.15,11.15,11,11.03,35631
20130404,11,11.02,10.96,10.96,23552
20130405,10.96,10.98,10.9,10.93,30697
20130408,10.89,10.96,10.89,10.96,22578
20130409,11.01,11.08,11.01,11.08,10753
20130410,11.09,11.09,11.04,11.08,187076
20130411,11.17,11.17,11.12,11.14,51359
20130412,11.16,11.18,11.14,11.18,32223
20130415,11.04,11.11,11.04,11.09,13416
20130416,11.03,11.08,11.02,11.08,41321
20130417,11.18,11.19,11.16,11.18,32024
20130418,11.14,11.15,11.1,11.13,12530
20130419,11.11,11.11,11.01,11.04,446830
20130422,11.08,11.1,11.08,11.1,12521
20130423,11.16,11.23,11.16,11.21,207767
20130424,11.26,11.4,11.26,11.39,47860
20130426,11.42,11.47,11.42,11.43,10922
20130429,11.48,11.48,11.47,11.47,4487
20130430,11.58,11.61,11.58,11.6,31182
20130501,11.57,11.6,11.55,11.56,24495
20130502,11.55,11.55,11.51,11.54,9841
20130503,11.6,11.61,11.42,11.42,16540
20130506,11.63,11.65,11.55,11.55,41721
20130507,11.55,11.55,11.46,11.51,26407
20130508,11.56,11.57,11.52,11.57,19597
20130509,11.6,11.61,11.58,11.58,36922
20130510,11.62,11.65,11.55,11.58,57430
20130513,11.59,11.61,11.57,11.61,17726
20130514,11.63,11.63,11.62,11.62,24517
20130515,11.68,11.68,11.56,11.62,72669
20130516,11.7,11.7,11.57,11.57,27590
