Date,Open,High,Low,Close,Volume
20150612,10.06,10.06,10.05,10.05,3981
20150615,10,10,10,10,1100
20150616,10,10,10,10,0
20150617,10,10,10,10,0
20150618,10.04,10.04,10.04,10.04,1010
20150619,10.04,10.04,10.04,10.04,0
20150622,10.07,10.07,10.07,10.07,2695
20150623,10.07,10.07,10.07,10.07,0
20150624,10.1,10.1,10.1,10.1,443
20150625,10.1,10.1,10.1,10.1,1235
20150626,10.03,10.05,10.03,10.05,3595
20150629,10.06,10.06,10.06,10.06,277
20150630,10.01,10.01,10.01,10.01,500
20150701,9.94,9.94,9.92,9.92,1613
20150702,10.05,10.07,10.05,10.07,1175
20150703,10.07,10.07,10.07,10.07,0
20150706,10.15,10.17,10.15,10.17,3669
20150707,10.17,10.17,10.17,10.17,0
20150708,10.17,10.17,10.17,10.17,0
20150709,10.17,10.17,10.17,10.17,0
20150710,10.44,10.45,10.44,10.45,2425
20150713,10.48,10.51,10.48,10.48,11485
20150714,10.64,10.64,10.59,10.59,2850
20150715,10.56,10.57,10.55,10.56,16447
20150716,10.66,10.7,10.66,10.69,3375
20150717,10.71,10.71,10.69,10.69,16565
20150720,10.75,10.75,10.73,10.73,4140
20150721,10.74,10.78,10.73,10.78,5605
20150722,10.58,10.6,10.56,10.6,3945
20150723,10.68,10.69,10.68,10.69,11236
20150724,10.64,10.76,10.64,10.76,4485
20150727,10.73,10.73,10.73,10.73,3050
20150728,10.71,10.71,10.69,10.69,15000
20150729,10.69,10.69,10.69,10.69,0
20150730,10.8,10.82,10.8,10.81,3740
20150731,10.86,10.87,10.86,10.87,565
20150803,10.89,10.9,10.89,10.9,1673
20150804,10.9,10.93,10.81,10.82,6571
20150805,10.72,10.75,10.69,10.75,16586
20150806,10.75,10.75,10.75,10.75,0
20150807,10.81,10.81,10.78,10.78,2850
20150810,10.75,10.77,10.75,10.77,9477
20150811,10.79,10.86,10.76,10.86,82090
20150812,10.86,10.86,10.86,10.86,0
20150813,10.88,10.89,10.88,10.89,1591
20150814,10.88,10.89,10.88,10.89,1500
20150817,10.97,11.01,10.94,10.95,18557
20150818,11,11,10.99,10.99,2300
20150819,11.02,11.02,11,11,7545
20150820,10.94,10.95,10.94,10.95,2767
20150821,10.85,10.89,10.8,10.8,17925
20150824,10.7,10.7,10.54,10.54,5185
20150825,10.54,10.65,10.53,10.61,17300
20150826,10.36,10.45,10.36,10.42,24348
20150827,10.66,10.71,10.66,10.69,24832
20150828,10.8,10.81,10.74,10.78,11568
20150831,10.74,10.76,10.68,10.68,7571
20150901,10.6,10.6,10.55,10.58,7708
20150902,10.76,10.76,10.74,10.74,11000
20150903,10.74,10.76,10.74,10.76,2383
20150904,10.82,10.82,10.79,10.79,620
20150907,10.79,10.79,10.79,10.79,0
20150908,10.79,10.79,10.79,10.79,0
20150909,10.88,10.9,10.88,10.9,301
20150910,10.83,10.83,10.79,10.81,15538
20150911,10.68,10.72,10.68,10.72,2132
20150914,10.75,10.75,10.74,10.74,5347
20150915,10.64,10.69,10.63,10.69,2500
20150916,10.73,10.73,10.73,10.73,1000
20150917,10.75,10.75,10.75,10.75,2000
20150918,10.78,10.78,10.78,10.78,277
20150921,10.71,10.71,10.68,10.68,1515
20150922,10.68,10.68,10.68,10.68,0
20150923,10.82,10.82,10.81,10.81,13756
20150924,10.93,10.93,10.92,10.92,6126
20150925,10.92,10.92,10.92,10.92,0
20150928,10.88,10.92,10.83,10.92,13050
20150929,10.83,10.85,10.83,10.85,1369
20150930,10.76,10.76,10.76,10.76,450
20151001,10.76,10.76,10.76,10.76,0
20151002,10.8,10.82,10.79,10.82,3300
20151005,10.84,10.84,10.84,10.84,3841
20151006,10.94,10.94,10.93,10.93,3296
20151007,10.85,10.86,10.84,10.84,800
20151008,10.84,10.84,10.84,10.84,0
20151009,10.9,10.93,10.9,10.93,14660
20151012,10.81,10.81,10.8,10.8,1938
20151013,10.8,10.8,10.8,10.8,0
20151014,10.8,10.8,10.8,10.8,0
20151015,10.8,10.8,10.76,10.77,5243
20151016,10.77,10.77,10.77,10.77,0
20151019,10.98,10.98,10.98,10.98,600
20151020,11.04,11.04,11.04,11.04,280
20151021,11.03,11.03,11.03,11.03,452
20151022,11.03,11.03,11.03,11.03,0
20151023,11.33,11.33,11.3,11.3,9973
20151026,11.22,11.22,11.14,11.14,6208
20151027,11.18,11.18,11.18,11.18,1789
20151028,11.24,11.25,11.24,11.25,850
20151029,11.25,11.25,11.25,11.25,0
20151030,11.44,11.44,11.43,11.43,3776
20151102,11.26,11.26,11.26,11.26,3800
20151103,11.29,11.29,11.29,11.29,619
20151104,11.28,11.28,11.28,11.28,450
20151105,11.31,11.31,11.31,11.31,1303
20151106,11.32,11.32,11.31,11.31,3217
20151109,11.31,11.31,11.28,11.28,3710
20151110,11.26,11.26,11.25,11.25,1061
20151111,11.28,11.28,11.25,11.25,7894
20151112,11.2,11.21,11.2,11.21,3877
20151113,11.05,11.1,11.05,11.08,10376
20151116,11.04,11.04,10.98,10.99,29630
20151117,11.25,11.25,11.25,11.25,5886
20151118,11.25,11.25,11.25,11.25,0
20151119,11.25,11.25,11.25,11.25,0
20151120,11.2,11.2,11.2,11.2,3491
20151123,11.19,11.24,11.19,11.24,6404
20151124,11.23,11.23,11.22,11.22,3272
20151125,11.12,11.12,11.11,11.12,8542
20151126,11.16,11.21,11.16,11.18,21966
20151127,11.18,11.18,11.18,11.18,0
20151130,11.25,11.25,11.25,11.25,5000
20151201,11.18,11.19,11.18,11.19,760
20151202,11.1,11.1,11.06,11.06,10187
20151203,11.02,11.04,11,11.02,11520
20151204,10.9,10.9,10.87,10.87,15090
20151207,10.87,10.87,10.87,10.87,0
20151208,10.87,10.87,10.87,10.87,0
20151209,11.07,11.12,11.07,11.12,1785
20151210,11,11,11,11,126
20151211,10.97,10.98,10.97,10.98,3101
20151214,10.96,11.02,10.96,11.02,5800
20151215,10.95,10.95,10.94,10.94,1279
20151216,11.13,11.13,11.13,11.13,1450
20151217,11.31,11.33,11.27,11.3,19216
20151218,11.3,11.3,11.3,11.3,0
20151221,11.13,11.16,11.12,11.16,9532
20151222,11.14,11.15,11.12,11.12,6839
20151223,11.12,11.12,11.12,11.12,0
20151224,11.31,11.31,11.31,11.31,700
20151229,11.33,11.33,11.31,11.31,540
20151230,11.35,11.35,11.34,11.34,3500
20151231,11.34,11.34,11.34,11.34,0
20160104,11.22,11.25,11.2,11.2,3254
20160105,11.23,11.23,11.2,11.2,10237
20160106,11.32,11.34,11.32,11.34,3393
20160107,11.34,11.34,11.34,11.34,0
20160108,11.29,11.3,11.29,11.3,1138
20160111,11.25,11.26,11.25,11.26,5802
20160112,11.3,11.3,11.3,11.3,5116
20160113,11.27,11.27,11.25,11.25,5786
20160114,11.2,11.23,11.2,11.23,18906
20160115,11.23,11.23,11.23,11.23,0
20160118,11.33,11.33,11.28,11.28,4427
20160119,11.43,11.44,11.41,11.43,22987
20160120,11.24,11.24,11.24,11.24,176
